Open_Date,Defect_Type,Missing_Incorrect,Defect_Trigger,Close_Date,Sequence
"1992-05-21","Algorithm","Incorrect","Backward Compatibility","1992-11-25",93
"1992-05-21","Function","Incorrect","Backward Compatibility","1992-11-25",94
"1992-05-21","Interface","Missing","Backward Compatibility","1992-11-25",95
"1992-05-21","Documents","Incorrect","Design Conformance","1992-11-25",96
"1992-05-21","Documents","Missing","Design Conformance","1992-11-25",97
"1992-05-21","Documents","Missing","Backward Compatibility","1992-11-25",98
"1992-05-21","Documents","Missing","Backward Compatibility","1992-11-25",99
"1992-05-21","Documents","Missing","Backward Compatibility","1992-11-25",100
"1992-05-21","Bld/Pkg/Mrg","Missing","Lateral Compatibility","1992-11-25",101
"1992-05-21","Interface","Missing","Backward Compatibility","1992-11-25",102
"1992-05-21","Function","Missing","Lateral Compatibility","1992-11-25",103
"1992-05-21","Function","Missing","Lateral Compatibility","1992-11-25",104
"1992-05-21","Documents","Missing","Design Conformance","1992-11-25",105
"1992-05-21","Function","Missing","Lateral Compatibility","1992-11-25",106
"1992-05-21","Documents","Incorrect","Document Consistency","1992-11-25",107
"1992-05-21","Documents","Incorrect","Document Consistency","1992-11-25",108
"1992-05-21","Documents","Incorrect","Document Consistency","1992-11-25",109
"1992-05-21","Checking","Missing","Operational Semantics","1992-11-25",110
"1992-05-21","Documents","Incorrect","Document Consistency","1992-11-25",111
"1992-05-21","Documents","Missing","Backward Compatibility","1992-11-25",112
"1992-05-21","Documents","Missing","Document Consistency","1992-11-25",113
"1992-05-21","Documents","Missing","Document Consistency","1992-11-25",114
"1992-05-21","Documents","Missing","Lateral Compatibility","1992-11-25",115
"1992-05-21","Documents","Missing","Backward Compatibility","1992-11-25",116
"1992-05-21","Function","Incorrect","Backward Compatibility","1992-11-25",117
"1992-05-21","Assignment","Missing","Backward Compatibility","1992-11-25",118
"1992-05-21","Function","Incorrect","Backward Compatibility","1992-11-25",119
"1992-05-21","Assignment","Missing","Backward Compatibility","1992-11-25",120
"1992-05-21","Algorithm","Incorrect","Concurrency","1992-11-25",121
"1992-05-21","Documents","Incorrect","Design Conformance","1992-11-25",122
"1992-05-21","Documents","Incorrect","Design Conformance","1992-11-25",123
"1992-05-21","Documents","Incorrect","Design Conformance","1992-11-25",124
"1992-05-21","Algorithm","Incorrect","Backward Compatibility","1992-11-25",125
"1992-05-21","Algorithm","Incorrect","Backward Compatibility","1992-11-25",126
"1992-05-21","Documents","Incorrect","Document Consistency","1992-11-25",127
"1992-05-21","Documents","Missing","Backward Compatibility","1992-11-25",128
"1992-05-21","Function","Missing","Backward Compatibility","1992-11-25",129
"1992-05-21","Timing/Serialize","Missing","Backward Compatibility","1992-11-25",130
"1992-05-21","Documents","Missing","Backward Compatibility","1992-11-25",131
"1992-05-21","Documents","Missing","Document Consistency","1992-11-25",132
"1992-05-21","Documents","Incorrect","Document Consistency","1992-11-25",133
"1992-05-21","Function","Incorrect","Design Conformance","1992-11-25",134
"1992-05-21","Function","Missing","Backward Compatibility","1992-11-25",135
"1992-05-21","Documents","Missing","Backward Compatibility","1992-11-25",136
"1992-05-21","Documents","Missing","Design Conformance","1992-11-25",137
"1992-05-21","Documents","Incorrect","Document Consistency","1992-11-25",138
"1992-05-21","Interface","Incorrect","Backward Compatibility","1992-11-25",139
"1992-05-21","Function","Incorrect","Backward Compatibility","1992-11-25",140
"1992-05-21","Interface","Missing","Backward Compatibility","1992-11-25",141
"1992-05-21","Interface","Missing","Design Conformance","1992-11-25",142
"1992-05-21","Function","Incorrect","Backward Compatibility","1992-11-30",143
"1992-05-21","Assignment","Missing","Backward Compatibility","1992-11-25",144
"1992-05-21","Documents","Incorrect","Document Consistency","1992-11-25",145
"1992-05-21","Documents","Missing","Operational Semantics","1992-11-25",146
"1992-05-21","Algorithm","Incorrect","Backward Compatibility","1992-11-25",147
"1992-05-21","Timing/Serialize","Incorrect","Backward Compatibility","1992-11-25",148
"1992-05-21","Timing/Serialize","Missing","Lateral Compatibility","1992-11-25",149
"1992-05-21","Function","Missing","Lateral Compatibility","1992-11-25",150
"1992-05-21","Function","Missing","Lateral Compatibility","1992-11-25",151
"1992-05-21","Documents","Missing","Document Consistency","1992-11-25",152
"1992-05-21","Algorithm","Missing","Backward Compatibility","1992-11-25",153
"1992-05-21","Documents","Missing","Document Consistency","1992-11-25",154
"1992-05-21","Documents","Missing","Document Consistency","1992-11-25",155
"1992-05-21","Documents","Missing","Lateral Compatibility","1992-11-25",156
"1992-05-21","Function","Missing","Backward Compatibility","1992-11-25",157
"1992-05-21","Function","Missing","Backward Compatibility","1992-11-25",158
"1992-05-21","Documents","Missing","Lateral Compatibility","1992-11-25",159
"1992-05-21","Documents","Missing","Lateral Compatibility","1992-11-25",160
"1992-05-21","Algorithm","Incorrect","Lateral Compatibility","1992-11-25",161
"1992-05-21","Documents","Missing","Document Consistency","1992-11-25",162
"1992-05-21","Algorithm","Incorrect","Backward Compatibility","1992-11-25",163
"1992-05-21","Algorithm","Incorrect","Operational Semantics","1992-11-25",164
"1992-05-21","Documents","Missing","Document Consistency","1992-11-30",165
"1992-05-21","Interface","Missing","Backward Compatibility","1992-11-25",166
"1992-05-21","Algorithm","Incorrect","Operational Semantics","1992-11-25",167
"1992-05-21","Documents","Incorrect","Document Consistency","1992-11-25",168
"1992-05-21","Documents","Incorrect","Document Consistency","1992-11-25",169
"1992-05-21","Documents","Incorrect","Backward Compatibility","1992-11-25",170
"1992-05-21","Documents","Incorrect","Design Conformance","1992-11-25",171
"1992-05-21","Documents","Incorrect","Backward Compatibility","1992-11-25",172
"1992-05-21","Documents","Missing","Document Consistency","1992-11-25",173
"1992-05-21","Algorithm","Incorrect","Backward Compatibility","1992-11-25",174
"1992-05-21","Documents","Incorrect","Document Consistency","1992-11-25",175
"1992-05-21","Documents","Missing","Document Consistency","1992-11-25",176
"1992-05-21","Documents","Incorrect","Document Consistency","1992-11-25",177
"1992-05-21","Function","Missing","Design Conformance","1992-11-25",178
"1992-05-21","Function","Missing","Design Conformance","1992-11-25",179
"1992-05-21","Documents","Missing","Concurrency","1992-11-25",180
"1992-05-21","Documents","Incorrect","Concurrency","1992-11-25",181
"1992-05-21","Assignment","Missing","Lateral Compatibility","1992-11-25",182
"1992-05-21","Timing/Serialize","Incorrect","Rare Situation","1992-11-25",183
"1992-05-21","Documents","Missing","Document Consistency","1992-11-25",184
"1992-05-21","Documents","Missing","Concurrency","1992-11-25",185
"1992-05-21","Algorithm","Missing","Lateral Compatibility","1992-11-25",186
"1992-05-21","Documents","Incorrect","Backward Compatibility","1992-11-25",187
"1992-05-21","Function","Incorrect","Lateral Compatibility","1992-11-25",188
"1991-05-28","Documents","Missing","Backward Compatibility","",189
"1991-05-28","Documents","Missing","Backward Compatibility","",190
"1991-05-28","Documents","Missing","Backward Compatibility","",191
"1991-05-28","Function","Missing","Operational Semantics","",192
"1991-05-28","Function","Missing","Design Conformance","",193
"1991-05-28","Function","Missing","Design Conformance","",194
"1991-05-28","Documents","Incorrect","Design Conformance","",195
"1991-05-28","Function","Missing","Lateral Compatibility","",196
"1991-05-28","Documents","Missing","Backward Compatibility","",197
"1991-05-28","Documents","Missing","Backward Compatibility","",198
"1991-05-28","Function","Missing","Design Conformance","",199
"1991-05-28","Function","Missing","Design Conformance","",200
"1991-05-28","Interface","Missing","Design Conformance","",201
"1991-05-28","Interface","Missing","Backward Compatibility","",202
"1991-05-28","Function","Incorrect","Design Conformance","",203
"1991-05-28","Function","Incorrect","Lateral Compatibility","",204
"1991-05-28","Timing/Serialize","Incorrect","Operational Semantics","",205
"1991-05-28","Interface","Incorrect","Operational Semantics","",206
"1991-05-28","Function","Incorrect","Lateral Compatibility","",207
"1991-05-28","Timing/Serialize","Incorrect","Rare Situation","",208
"1991-05-28","Timing/Serialize","Incorrect","Rare Situation","",209
"1991-05-28","Timing/Serialize","Incorrect","Rare Situation","",210
"1991-05-28","Documents","Incorrect","Document Consistency","",211
"1991-05-28","Algorithm","Incorrect","Operational Semantics","",212
"1991-05-28","Function","Incorrect","Operational Semantics","",213
"1991-05-28","Documents","Incorrect","Operational Semantics","",214
"1991-05-28","Function","Missing","Design Conformance","",215
"1991-05-28","Function","Missing","Operational Semantics","",216
"1991-05-28","Function","Missing","Operational Semantics","",217
"1991-05-28","Interface","Missing","Operational Semantics","",218
"1991-05-28","Interface","Incorrect","Operational Semantics","",219
"1991-08-13","Interface","Missing","Operational Semantics","",220
"1991-08-13","Interface","Missing","Operational Semantics","",221
"1991-09-09","Function","Incorrect","Operational Semantics","",222
"1991-09-09","Interface","Incorrect","Operational Semantics","",223
"1991-05-28","Documents","Incorrect","Document Consistency","",224
"1991-05-28","Documents","Missing","Document Consistency","",225
"1991-05-28","Documents","Missing","Operational Semantics","",226
"1991-05-28","Algorithm","Missing","Operational Semantics","",227
"1991-05-28","Function","Missing","Lateral Compatibility","",228
"1991-05-28","Function","Incorrect","Backward Compatibility","",229
"1991-06-03","Algorithm","Incorrect","Operational Semantics","",230
"1991-05-28","Function","Incorrect","Design Conformance","",231
"1991-05-28","Function","Incorrect","Operational Semantics","",232
"1991-05-28","Documents","Missing","Operational Semantics","",233
"1991-05-28","Timing/Serialize","Incorrect","Operational Semantics","",234
"1991-05-28","Documents","Incorrect","Document Consistency","",235
"1991-05-28","Documents","Incorrect","Document Consistency","",236
"1991-05-28","Documents","Incorrect","Document Consistency","",237
"1991-05-28","Documents","Incorrect","Document Consistency","",238
"1991-05-28","Documents","Incorrect","Document Consistency","",239
"1991-05-28","Documents","Missing","Operational Semantics","",240
"1991-05-28","Documents","Missing","Operational Semantics","",241
"1991-05-28","Documents","Incorrect","Document Consistency","",242
"1991-05-28","Documents","Incorrect","Document Consistency","",243
"1991-05-28","Documents","Missing","Document Consistency","",244
"1991-05-28","Documents","Incorrect","Document Consistency","",245
"1991-05-28","Documents","Incorrect","Document Consistency","",246
"1991-05-28","Function","Incorrect","Design Conformance","",247
"1991-05-28","Documents","Incorrect","Document Consistency","",248
"1991-05-28","Documents","Incorrect","Document Consistency","",249
"1991-05-28","Documents","Incorrect","Document Consistency","",250
"1991-05-28","Documents","Missing","Operational Semantics","",251
"1991-05-28","Algorithm","Incorrect","Operational Semantics","",252
"1991-05-28","Documents","Missing","Operational Semantics","",253
"1991-05-28","Documents","Incorrect","Document Consistency","",254
"1991-05-28","Documents","Missing","Operational Semantics","",255
