Day,DefectType
29,"Function"
29,"Misc"
29,"Misc"
29,"Misc"
29,"Misc"
29,"Assn/Ck/alg"
29,"Assn/Ck/alg"
29,"Assn/Ck/alg"
29,"Function"
29,"Assn/Ck/alg"
29,"Function"
29,"Function"
29,"Misc"
29,"Function"
29,"Function"
29,"Assn/Ck/alg"
29,"Assn/Ck/alg"
30,"Assn/Ck/alg"
32,"Assn/Ck/alg"
32,"Misc"
32,"Misc"
32,"Function"
32,"Function"
32,"Assn/Ck/alg"
32,"Misc"
32,"Function"
32,"Assn/Ck/alg"
32,"Assn/Ck/alg"
32,"Assn/Ck/alg"
32,"Assn/Ck/alg"
32,"Misc"
32,"Misc"
32,"Misc"
32,"Misc"
32,"Assn/Ck/alg"
32,"Assn/Ck/alg"
32,"Function"
32,"Misc"
32,"Misc"
32,"Assn/Ck/alg"
32,"Assn/Ck/alg"
32,"Assn/Ck/alg"
33,"Assn/Ck/alg"
33,"Function"
33,"Assn/Ck/alg"
33,"Assn/Ck/alg"
33,"Misc"
33,"Assn/Ck/alg"
33,"Function"
33,"Misc"
33,"Assn/Ck/alg"
33,"Function"
33,"Misc"
33,"Function"
33,"Assn/Ck/alg"
34,"Function"
34,"Assn/Ck/alg"
34,"Misc"
34,"Assn/Ck/alg"
34,"Assn/Ck/alg"
34,"Misc"
34,"Assn/Ck/alg"
34,"Function"
34,"Function"
34,"Misc"
34,"Misc"
34,"Misc"
34,"Assn/Ck/alg"
34,"Assn/Ck/alg"
34,"Assn/Ck/alg"
34,"Assn/Ck/alg"
34,"Assn/Ck/alg"
34,"Assn/Ck/alg"
34,"Assn/Ck/alg"
34,"Function"
34,"Misc"
34,"Assn/Ck/alg"
34,"Misc"
35,"Misc"
35,"Misc"
35,"Assn/Ck/alg"
35,"Assn/Ck/alg"
35,"Misc"
35,"Assn/Ck/alg"
35,"Assn/Ck/alg"
35,"Assn/Ck/alg"
35,"Assn/Ck/alg"
35,"Misc"
35,"Function"
35,"Misc"
35,"Assn/Ck/alg"
35,"Assn/Ck/alg"
35,"Assn/Ck/alg"
35,"Function"
35,"Misc"
35,"Misc"
35,"Misc"
35,"Assn/Ck/alg"
35,"Assn/Ck/alg"
35,"Assn/Ck/alg"
35,"Misc"
35,"Assn/Ck/alg"
35,"Assn/Ck/alg"
36,"Assn/Ck/alg"
36,"Assn/Ck/alg"
36,"Assn/Ck/alg"
36,"Assn/Ck/alg"
36,"Assn/Ck/alg"
36,"Function"
36,"Misc"
36,"Assn/Ck/alg"
36,"Misc"
36,"Assn/Ck/alg"
36,"Assn/Ck/alg"
36,"Assn/Ck/alg"
37,"Assn/Ck/alg"
37,"Misc"
38,"Assn/Ck/alg"
38,"Assn/Ck/alg"
38,"Function"
39,"Assn/Ck/alg"
39,"Assn/Ck/alg"
39,"Misc"
39,"Function"
39,"Misc"
39,"Assn/Ck/alg"
39,"Assn/Ck/alg"
39,"Misc"
39,"Assn/Ck/alg"
39,"Assn/Ck/alg"
39,"Assn/Ck/alg"
39,"Function"
40,"Assn/Ck/alg"
40,"Misc"
40,"Assn/Ck/alg"
40,"Misc"
40,"Misc"
40,"Misc"
41,"Misc"
41,"Misc"
41,"Assn/Ck/alg"
41,"Assn/Ck/alg"
41,"Assn/Ck/alg"
41,"Function"
41,"Function"
41,"Misc"
41,"Misc"
41,"Assn/Ck/alg"
41,"Assn/Ck/alg"
41,"Assn/Ck/alg"
41,"Assn/Ck/alg"
41,"Assn/Ck/alg"
41,"Misc"
41,"Assn/Ck/alg"
42,"Misc"
42,"Assn/Ck/alg"
42,"Misc"
42,"Misc"
42,"Function"
42,"Misc"
42,"Function"
42,"Assn/Ck/alg"
42,"Assn/Ck/alg"
42,"Assn/Ck/alg"
43,"Assn/Ck/alg"
43,"Assn/Ck/alg"
43,"Assn/Ck/alg"
43,"Misc"
43,"Assn/Ck/alg"
43,"Function"
43,"Assn/Ck/alg"
43,"Function"
43,"Misc"
43,"Function"
44,"Misc"
44,"Misc"
44,"Assn/Ck/alg"
44,"Assn/Ck/alg"
44,"Assn/Ck/alg"
44,"Assn/Ck/alg"
45,"Function"
45,"Assn/Ck/alg"
45,"Assn/Ck/alg"
45,"Assn/Ck/alg"
45,"Function"
46,"Assn/Ck/alg"
46,"Function"
46,"Assn/Ck/alg"
46,"Misc"
46,"Function"
46,"Function"
46,"Misc"
46,"Misc"
46,"Misc"
46,"Assn/Ck/alg"
46,"Assn/Ck/alg"
46,"Misc"
46,"Misc"
46,"Function"
46,"Assn/Ck/alg"
46,"Misc"
46,"Assn/Ck/alg"
47,"Function"
47,"Misc"
47,"Function"
47,"Function"
47,"Function"
47,"Assn/Ck/alg"
47,"Function"
47,"Assn/Ck/alg"
47,"Assn/Ck/alg"
47,"Assn/Ck/alg"
47,"Misc"
47,"Assn/Ck/alg"
47,"Misc"
47,"Misc"
47,"Misc"
47,"Misc"
47,"Misc"
47,"Function"
47,"Misc"
47,"Misc"
47,"Assn/Ck/alg"
47,"Misc"
47,"Assn/Ck/alg"
47,"Misc"
47,"Assn/Ck/alg"
47,"Misc"
47,"Misc"
48,"Misc"
48,"Misc"
48,"Misc"
48,"Misc"
48,"Function"
48,"Assn/Ck/alg"
48,"Assn/Ck/alg"
48,"Assn/Ck/alg"
48,"Misc"
48,"Misc"
48,"Assn/Ck/alg"
48,"Assn/Ck/alg"
49,"Misc"
49,"Misc"
49,"Assn/Ck/alg"
49,"Misc"
49,"Misc"
49,"Misc"
49,"Misc"
49,"Assn/Ck/alg"
49,"Misc"
49,"Assn/Ck/alg"
49,"Assn/Ck/alg"
49,"Assn/Ck/alg"
49,"Assn/Ck/alg"
49,"Misc"
49,"Misc"
49,"Misc"
49,"Assn/Ck/alg"
49,"Misc"
49,"Misc"
49,"Assn/Ck/alg"
49,"Misc"
49,"Misc"
49,"Misc"
49,"Misc"
49,"Misc"
49,"Misc"
50,"Assn/Ck/alg"
50,"Misc"
50,"Misc"
50,"Assn/Ck/alg"
50,"Assn/Ck/alg"
50,"Misc"
50,"Misc"
50,"Misc"
50,"Misc"
50,"Assn/Ck/alg"
50,"Misc"
50,"Assn/Ck/alg"
50,"Assn/Ck/alg"
50,"Misc"
50,"Assn/Ck/alg"
50,"Assn/Ck/alg"
50,"Misc"
50,"Assn/Ck/alg"
50,"Assn/Ck/alg"
50,"Assn/Ck/alg"
50,"Assn/Ck/alg"
50,"Function"
50,"Function"
50,"Function"
50,"Misc"
50,"Assn/Ck/alg"
50,"Assn/Ck/alg"
50,"Assn/Ck/alg"
50,"Assn/Ck/alg"
50,"Misc"
50,"Misc"
50,"Assn/Ck/alg"
50,"Assn/Ck/alg"
50,"Misc"
50,"Misc"
51,"Assn/Ck/alg"
51,"Assn/Ck/alg"
51,"Misc"
51,"Misc"
51,"Assn/Ck/alg"
51,"Assn/Ck/alg"
51,"Function"
51,"Function"
51,"Function"
51,"Misc"
51,"Function"
51,"Misc"
51,"Misc"
51,"Misc"
51,"Misc"
51,"Function"
51,"Misc"
51,"Assn/Ck/alg"
51,"Assn/Ck/alg"
51,"Misc"
51,"Assn/Ck/alg"
51,"Misc"
52,"Misc"
52,"Misc"
52,"Misc"
52,"Misc"
52,"Misc"
52,"Misc"
52,"Misc"
52,"Misc"
52,"Misc"
53,"Assn/Ck/alg"
53,"Assn/Ck/alg"
53,"Assn/Ck/alg"
53,"Misc"
53,"Assn/Ck/alg"
53,"Misc"
53,"Assn/Ck/alg"
53,"Assn/Ck/alg"
53,"Assn/Ck/alg"
53,"Misc"
53,"Assn/Ck/alg"
53,"Function"
54,"Assn/Ck/alg"
54,"Assn/Ck/alg"
54,"Assn/Ck/alg"
54,"Function"
54,"Misc"
54,"Assn/Ck/alg"
54,"Assn/Ck/alg"
54,"Assn/Ck/alg"
54,"Misc"
54,"Misc"
54,"Misc"
54,"Misc"
54,"Assn/Ck/alg"
54,"Misc"
55,"Assn/Ck/alg"
55,"Assn/Ck/alg"
55,"Misc"
55,"Misc"
55,"Misc"
55,"Misc"
55,"Misc"
55,"Misc"
55,"Misc"
55,"Misc"
55,"Assn/Ck/alg"
55,"Misc"
55,"Misc"
55,"Misc"
56,"Assn/Ck/alg"
56,"Misc"
56,"Function"
56,"Misc"
56,"Misc"
56,"Function"
56,"Assn/Ck/alg"
56,"Assn/Ck/alg"
56,"Assn/Ck/alg"
56,"Misc"
56,"Misc"
56,"Misc"
56,"Function"
56,"Assn/Ck/alg"
56,"Function"
56,"Function"
56,"Function"
56,"Assn/Ck/alg"
57,"Misc"
57,"Function"
57,"Assn/Ck/alg"
57,"Function"
57,"Assn/Ck/alg"
57,"Function"
57,"Assn/Ck/alg"
57,"Function"
57,"Assn/Ck/alg"
57,"Assn/Ck/alg"
57,"Function"
57,"Assn/Ck/alg"
57,"Assn/Ck/alg"
57,"Assn/Ck/alg"
57,"Function"
57,"Misc"
57,"Assn/Ck/alg"
57,"Misc"
57,"Assn/Ck/alg"
58,"Misc"
58,"Function"
59,"Misc"
59,"Misc"
59,"Misc"
59,"Misc"
59,"Misc"
59,"Misc"
59,"Function"
59,"Assn/Ck/alg"
59,"Misc"
59,"Assn/Ck/alg"
59,"Misc"
59,"Misc"
59,"Misc"
59,"Assn/Ck/alg"
59,"Misc"
59,"Misc"
59,"Misc"
59,"Misc"
59,"Misc"
59,"Assn/Ck/alg"
59,"Function"
60,"Assn/Ck/alg"
60,"Misc"
60,"Function"
60,"Assn/Ck/alg"
60,"Assn/Ck/alg"
61,"Function"
61,"Assn/Ck/alg"
61,"Misc"
61,"Assn/Ck/alg"
61,"Misc"
61,"Assn/Ck/alg"
61,"Misc"
61,"Misc"
61,"Misc"
62,"Misc"
62,"Assn/Ck/alg"
62,"Assn/Ck/alg"
62,"Assn/Ck/alg"
62,"Function"
62,"Misc"
62,"Misc"
62,"Misc"
62,"Misc"
62,"Misc"
62,"Assn/Ck/alg"
62,"Misc"
62,"Assn/Ck/alg"
62,"Misc"
62,"Misc"
62,"Assn/Ck/alg"
63,"Misc"
63,"Function"
63,"Assn/Ck/alg"
63,"Assn/Ck/alg"
63,"Misc"
63,"Misc"
63,"Misc"
63,"Assn/Ck/alg"
63,"Misc"
63,"Misc"
63,"Misc"
63,"Misc"
63,"Assn/Ck/alg"
63,"Assn/Ck/alg"
63,"Misc"
64,"Misc"
64,"Assn/Ck/alg"
64,"Assn/Ck/alg"
64,"Misc"
64,"Assn/Ck/alg"
64,"Assn/Ck/alg"
64,"Assn/Ck/alg"
64,"Misc"
64,"Misc"
64,"Assn/Ck/alg"
64,"Assn/Ck/alg"
64,"Misc"
64,"Misc"
65,"Assn/Ck/alg"
65,"Assn/Ck/alg"
66,"Misc"
66,"Misc"
66,"Misc"
66,"Misc"
66,"Assn/Ck/alg"
66,"Function"
67,"Misc"
67,"Assn/Ck/alg"
67,"Misc"
67,"Misc"
67,"Misc"
67,"Assn/Ck/alg"
67,"Misc"
67,"Misc"
67,"Misc"
67,"Misc"
67,"Misc"
67,"Misc"
67,"Misc"
67,"Misc"
67,"Function"
67,"Function"
67,"Assn/Ck/alg"
67,"Misc"
67,"Misc"
67,"Misc"
67,"Assn/Ck/alg"
67,"Misc"
68,"Assn/Ck/alg"
68,"Assn/Ck/alg"
68,"Misc"
68,"Assn/Ck/alg"
68,"Assn/Ck/alg"
68,"Assn/Ck/alg"
68,"Assn/Ck/alg"
68,"Assn/Ck/alg"
68,"Assn/Ck/alg"
68,"Misc"
68,"Function"
68,"Misc"
68,"Misc"
68,"Misc"
68,"Assn/Ck/alg"
68,"Function"
68,"Function"
69,"Misc"
69,"Assn/Ck/alg"
69,"Assn/Ck/alg"
69,"Assn/Ck/alg"
69,"Misc"
69,"Function"
69,"Misc"
69,"Misc"
69,"Assn/Ck/alg"
69,"Function"
69,"Assn/Ck/alg"
69,"Function"
69,"Function"
69,"Function"
69,"Misc"
69,"Assn/Ck/alg"
69,"Misc"
69,"Misc"
69,"Function"
69,"Assn/Ck/alg"
69,"Function"
70,"Assn/Ck/alg"
70,"Misc"
70,"Function"
70,"Assn/Ck/alg"
70,"Misc"
70,"Assn/Ck/alg"
70,"Assn/Ck/alg"
70,"Assn/Ck/alg"
70,"Misc"
70,"Assn/Ck/alg"
70,"Assn/Ck/alg"
70,"Function"
70,"Misc"
70,"Misc"
70,"Misc"
70,"Misc"
70,"Assn/Ck/alg"
70,"Assn/Ck/alg"
70,"Assn/Ck/alg"
70,"Misc"
70,"Misc"
70,"Misc"
70,"Function"
70,"Misc"
70,"Misc"
70,"Misc"
70,"Misc"
71,"Function"
71,"Misc"
71,"Misc"
71,"Assn/Ck/alg"
71,"Function"
71,"Misc"
71,"Misc"
71,"Misc"
71,"Misc"
71,"Misc"
71,"Misc"
71,"Misc"
71,"Misc"
71,"Function"
71,"Misc"
71,"Misc"
71,"Misc"
71,"Misc"
71,"Misc"
71,"Misc"
71,"Misc"
71,"Misc"
71,"Assn/Ck/alg"
71,"Misc"
71,"Misc"
71,"Misc"
71,"Function"
72,"Function"
73,"Misc"
73,"Misc"
73,"Misc"
73,"Misc"
73,"Misc"
73,"Function"
73,"Function"
73,"Misc"
73,"Function"
73,"Misc"
73,"Function"
73,"Misc"
73,"Misc"
73,"Assn/Ck/alg"
73,"Function"
73,"Misc"
74,"Misc"
74,"Assn/Ck/alg"
74,"Function"
74,"Assn/Ck/alg"
74,"Assn/Ck/alg"
74,"Function"
74,"Assn/Ck/alg"
74,"Assn/Ck/alg"
74,"Misc"
74,"Function"
74,"Function"
74,"Misc"
75,"Misc"
75,"Misc"
75,"Assn/Ck/alg"
75,"Misc"
75,"Misc"
75,"Function"
75,"Assn/Ck/alg"
75,"Function"
75,"Assn/Ck/alg"
75,"Assn/Ck/alg"
75,"Assn/Ck/alg"
75,"Misc"
75,"Misc"
76,"Misc"
76,"Assn/Ck/alg"
76,"Misc"
76,"Assn/Ck/alg"
76,"Misc"
76,"Assn/Ck/alg"
76,"Misc"
76,"Misc"
76,"Misc"
76,"Function"
76,"Assn/Ck/alg"
76,"Assn/Ck/alg"
76,"Assn/Ck/alg"
76,"Assn/Ck/alg"
76,"Misc"
77,"Assn/Ck/alg"
77,"Function"
77,"Misc"
77,"Misc"
77,"Misc"
77,"Function"
77,"Misc"
77,"Assn/Ck/alg"
77,"Misc"
77,"Assn/Ck/alg"
77,"Function"
77,"Assn/Ck/alg"
77,"Misc"
77,"Misc"
77,"Misc"
77,"Misc"
77,"Misc"
77,"Misc"
77,"Misc"
77,"Function"
77,"Function"
77,"Assn/Ck/alg"
78,"Misc"
78,"Misc"
78,"Assn/Ck/alg"
78,"Assn/Ck/alg"
78,"Assn/Ck/alg"
78,"Assn/Ck/alg"
78,"Function"
78,"Misc"
78,"Misc"
78,"Function"
78,"Assn/Ck/alg"
78,"Misc"
78,"Misc"
78,"Assn/Ck/alg"
78,"Assn/Ck/alg"
78,"Assn/Ck/alg"
78,"Misc"
78,"Function"
79,"Function"
79,"Assn/Ck/alg"
80,"Misc"
80,"Assn/Ck/alg"
80,"Misc"
81,"Assn/Ck/alg"
81,"Misc"
81,"Assn/Ck/alg"
81,"Misc"
81,"Assn/Ck/alg"
81,"Misc"
81,"Function"
81,"Assn/Ck/alg"
82,"Assn/Ck/alg"
82,"Misc"
82,"Function"
82,"Assn/Ck/alg"
82,"Misc"
82,"Function"
82,"Function"
82,"Misc"
82,"Misc"
82,"Misc"
82,"Misc"
82,"Misc"
82,"Misc"
82,"Misc"
82,"Assn/Ck/alg"
82,"Misc"
82,"Assn/Ck/alg"
82,"Assn/Ck/alg"
82,"Misc"
82,"Function"
82,"Misc"
83,"Assn/Ck/alg"
83,"Misc"
83,"Assn/Ck/alg"
83,"Misc"
83,"Function"
83,"Misc"
83,"Assn/Ck/alg"
83,"Misc"
83,"Misc"
83,"Misc"
83,"Misc"
83,"Function"
83,"Function"
83,"Misc"
83,"Function"
83,"Assn/Ck/alg"
83,"Function"
84,"Misc"
84,"Assn/Ck/alg"
84,"Function"
84,"Misc"
84,"Function"
84,"Function"
84,"Assn/Ck/alg"
84,"Function"
85,"Misc"
85,"Misc"
85,"Function"
85,"Misc"
85,"Assn/Ck/alg"
85,"Misc"
85,"Misc"
86,"Misc"
86,"Misc"
87,"Function"
87,"Assn/Ck/alg"
87,"Misc"
87,"Misc"
87,"Misc"
87,"Misc"
87,"Misc"
87,"Assn/Ck/alg"
87,"Function"
87,"Misc"
87,"Misc"
87,"Misc"
87,"Function"
87,"Misc"
87,"Misc"
88,"Misc"
88,"Misc"
88,"Misc"
88,"Function"
88,"Misc"
88,"Misc"
88,"Function"
88,"Assn/Ck/alg"
88,"Function"
88,"Misc"
88,"Misc"
88,"Function"
88,"Function"
88,"Misc"
88,"Misc"
88,"Assn/Ck/alg"
88,"Misc"
88,"Function"
89,"Misc"
89,"Misc"
89,"Misc"
89,"Misc"
89,"Assn/Ck/alg"
89,"Misc"
89,"Misc"
89,"Misc"
89,"Assn/Ck/alg"
89,"Misc"
89,"Assn/Ck/alg"
90,"Misc"
90,"Function"
90,"Function"
90,"Function"
90,"Function"
90,"Misc"
90,"Assn/Ck/alg"
90,"Misc"
90,"Misc"
90,"Misc"
90,"Assn/Ck/alg"
90,"Misc"
90,"Misc"
90,"Misc"
91,"Misc"
91,"Misc"
91,"Assn/Ck/alg"
91,"Assn/Ck/alg"
91,"Misc"
91,"Function"
92,"Misc"
92,"Misc"
92,"Misc"
92,"Misc"
92,"Misc"
92,"Misc"
92,"Assn/Ck/alg"
92,"Misc"
92,"Function"
92,"Misc"
92,"Misc"
92,"Misc"
92,"Misc"
92,"Misc"
92,"Misc"
92,"Misc"
92,"Misc"
92,"Misc"
92,"Misc"
92,"Misc"
92,"Misc"
92,"Misc"
92,"Misc"
92,"Misc"
92,"Misc"
92,"Assn/Ck/alg"
92,"Misc"
92,"Misc"
92,"Assn/Ck/alg"
92,"Misc"
92,"Misc"
92,"Assn/Ck/alg"
92,"Misc"
92,"Misc"
92,"Misc"
92,"Misc"
92,"Function"
92,"Misc"
92,"Misc"
92,"Misc"
92,"Misc"
92,"Misc"
92,"Misc"
92,"Misc"
92,"Misc"
92,"Misc"
93,"Function"
93,"Misc"
93,"Misc"
93,"Misc"
93,"Misc"
93,"Misc"
93,"Misc"
93,"Assn/Ck/alg"
93,"Misc"
93,"Misc"
93,"Misc"
93,"Misc"
93,"Assn/Ck/alg"
93,"Misc"
93,"Function"
93,"Function"
93,"Misc"
93,"Function"
93,"Misc"
93,"Misc"
95,"Misc"
95,"Misc"
95,"Misc"
95,"Function"
95,"Function"
95,"Misc"
95,"Misc"
95,"Misc"
95,"Misc"
95,"Misc"
95,"Function"
95,"Misc"
95,"Misc"
95,"Misc"
95,"Assn/Ck/alg"
95,"Misc"
95,"Misc"
95,"Assn/Ck/alg"
95,"Misc"
95,"Assn/Ck/alg"
95,"Misc"
95,"Assn/Ck/alg"
95,"Misc"
95,"Misc"
96,"Assn/Ck/alg"
96,"Misc"
96,"Misc"
96,"Assn/Ck/alg"
96,"Misc"
96,"Misc"
96,"Function"
96,"Misc"
96,"Misc"
96,"Misc"
96,"Assn/Ck/alg"
96,"Misc"
96,"Assn/Ck/alg"
96,"Assn/Ck/alg"
96,"Misc"
96,"Misc"
96,"Misc"
97,"Assn/Ck/alg"
97,"Assn/Ck/alg"
97,"Misc"
97,"Misc"
97,"Misc"
97,"Misc"
97,"Misc"
97,"Misc"
97,"Misc"
97,"Misc"
97,"Misc"
97,"Misc"
97,"Misc"
97,"Assn/Ck/alg"
97,"Assn/Ck/alg"
98,"Misc"
99,"Misc"
99,"Misc"
101,"Assn/Ck/alg"
101,"Assn/Ck/alg"
101,"Function"
102,"Function"
102,"Misc"
102,"Assn/Ck/alg"
102,"Misc"
102,"Function"
102,"Function"
102,"Misc"
102,"Assn/Ck/alg"
102,"Assn/Ck/alg"
102,"Assn/Ck/alg"
102,"Misc"
102,"Misc"
102,"Assn/Ck/alg"
102,"Misc"
102,"Misc"
