Open_Date,Phase_Found,Defect_Type,Missing_Incorrect,Defect_Source,Defect_Impact,Defect_Trigger,Phase_Injected,Severity,Priority,Close_Date,Defect_Location,Sequence
"1993-05-04","UT","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Capability","Workload Volume/Stress","CODE","MAJOR","LOW","1993-05-04","UTNI",54
"1993-05-04","UT","Assignment/Initialization","MISSING","New_Funct/Rewritten","Capability","Workload Volume/Stress","CODE","MAJOR","LOW","1993-05-04","UTNI",55
"1993-05-04","UT","Function","INCORRECT","New_Funct/Rewritten","Capability","Workload Volume/Stress","MLD","MAJOR","MED","1993-05-04","UTNI",56
"1993-05-04","UT","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Capability","Workload Volume/Stress","CODE","MAJOR","LOW","1993-05-04","UTNI",57
"1993-05-04","UT","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Capability","Workload Volume/Stress","CODE","MAJOR","MED","1993-05-04","UTNI",58
"1993-05-04","UT","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Capability","Workload Volume/Stress","CODE","MAJOR","LOW","1993-05-04","UTNI",59
"1993-05-04","UT","Assignment/Initialization","MISSING","New_Funct/Rewritten","Capability","Workload Volume/Stress","MLD","MAJOR","LOW","1993-05-04","UTNI",60
"1993-05-04","UT","Function","INCORRECT","","Capability","Workload Volume/Stress","CODE","MAJOR","LOW","1993-05-04","UTNI",61
"1993-05-04","UT","Checking","MISSING","","Capability","Workload Volume/Stress","CODE","MAJOR","LOW","1993-05-04","UTNI",62
"1993-03-01","CODE","Interface","INCORRECT","","Capability","","MLD","MAJOR","LOW","1993-03-01","CODE",63
"1993-03-01","CODE","Assignment/Initialization","MISSING","New_Funct/Rewritten","Reliability/Avail","Recovery/Exception","CODE","MAJOR","LOW","1993-03-01","CODE",64
"1993-02-16","MLD","Function","MISSING","","Reliability/Avail","Recovery/Exception","MLD","MAJOR","LOW","1993-02-16","PCMLD",65
"1992-12-16","CLD","Documents","INCORRECT","","Capability","","CLD","MAJOR","LOW","1992-12-16","PCMLD",66
"1992-12-16","CLD","Documents","INCORRECT","","Capability","","CLD","MAJOR","LOW","1992-12-16","PCMLD",67
"1993-03-16","CODE","Algorithm","INCORRECT","New_Funct/Rewritten","Standards","","CODE","MAJOR","LOW","1993-03-16","CODE",68
"1993-01-20","MLD","Function","INCORRECT","","Capability","","MLD","MAJOR","HIGH","1993-01-20","PCMLD",69
"1993-01-20","MLD","Function","INCORRECT","","Capability","","MLD","MAJOR","LOW","1993-01-20","PCMLD",70
"1993-03-31","MLD","Interface","MISSING","","Reliability/Avail","","CLD","MAJOR","LOW","1993-03-31","PCMLD",71
"1993-03-31","MLD","Function","MISSING","","Usability","Design NonConformance","CLD","MAJOR","LOW","1993-03-31","PCMLD",72
"1993-03-31","MLD","Algorithm","MISSING","","Reliability/Avail","","MLD","MAJOR","LOW","1993-03-31","PCMLD",73
"1993-03-31","MLD","Checking","INCORRECT","","Reliability/Avail","Design NonConformance","MLD","MAJOR","LOW","1993-03-31","PCMLD",74
"1993-03-31","MLD","Assignment/Initialization","MISSING","","Reliability/Avail","Design NonConformance","MLD","MAJOR","LOW","1993-03-31","PCMLD",75
"1992-12-17","CLD","Function","MISSING","","Reliability/Avail","Design NonConformance","CLD","MAJOR","HIGH","1992-12-17","PCMLD",76
"1993-02-19","PLD","Documents","INCORRECT","","Documentation","Recovery/Exception","PLD","MAJOR","LOW","1993-02-19","PCMLD",77
"1993-02-19","PLD","Function","INCORRECT","","Integrity/Security","Documentation Content","PLD","MAJOR","LOW","1993-02-19","PCMLD",78
"1993-02-19","PLD","Function","INCORRECT","","Reliability/Avail","","PLD","MAJOR","MED","1993-02-19","PCMLD",79
"1992-11-02","PLD","Function","MISSING","","Usability","","PLD","MAJOR","HIGH","1992-11-02","PCMLD",80
"1992-11-04","PLD","Function","MISSING","","Performance","","PLD","MAJOR","LOW","1992-11-04","PCMLD",81
"1992-11-04","PLD","Function","MISSING","","Capability","","PLD","MAJOR","MED","1992-11-04","PCMLD",82
"1992-11-04","PLD","Function","MISSING","","Reliability/Avail","","PLD","MAJOR","MED","1992-11-04","PCMLD",83
"1992-11-12","PLD","Documents","MISSING","","Documentation","Design NonConformance","PLD","MAJOR","MED","1992-11-12","PCMLD",84
"1992-11-12","PLD","Function","MISSING","","Migration","Design NonConformance","PLD","MAJOR","LOW","1992-11-12","PCMLD",85
"1992-11-12","PLD","Function","MISSING","","Documentation","Logic Flow","PLD","MAJOR","LOW","1992-11-12","PCMLD",86
"1992-11-12","PLD","Function","MISSING","","Maintain/Service","Logic Flow","PLD","MAJOR","LOW","1992-11-12","PCMLD",87
"1992-11-12","PLD","Documents","INCORRECT","","Maintain/Service","Logic Flow","PLD","MAJOR","LOW","1992-11-12","PCMLD",88
"1992-11-16","PLD","Function","INCORRECT","","Reliability/Avail","","PLD","MAJOR","HIGH","1992-11-16","PCMLD",89
"1992-11-16","PLD","Assignment/Initialization","INCORRECT","","Usability","","PLD","MAJOR","LOW","1992-11-16","PCMLD",90
"1992-11-16","PLD","Function","MISSING","","Performance","","PLD","MAJOR","LOW","1992-11-16","PCMLD",91
"1992-11-16","PLD","Documents","MISSING","","Usability","","PLD","MAJOR","LOW","1992-11-16","PCMLD",92
"1992-11-17","PLD","Function","MISSING","","Performance","","PLD","MAJOR","HIGH","1992-11-17","PCMLD",93
"1992-11-17","PLD","Interface","MISSING","","Usability","","PLD","MAJOR","LOW","1992-11-17","PCMLD",94
"1992-10-30","PLD","Interface","INCORRECT","","Reliability/Avail","","PLD","MAJOR","LOW","1992-10-30","PCMLD",95
"1992-10-30","PLD","Documents","MISSING","","Usability","","PLD","MAJOR","LOW","1992-10-30","PCMLD",96
"1992-10-30","PLD","Documents","MISSING","","Usability","","PLD","MAJOR","LOW","1992-10-30","PCMLD",97
"1992-10-30","PLD","Documents","MISSING","","Usability","","PLD","MAJOR","MED","1992-10-30","PCMLD",98
"1992-10-30","PLD","Documents","MISSING","","Usability","","PLD","MAJOR","MED","1992-10-30","PCMLD",99
"1992-10-30","PLD","Documents","INCORRECT","","Usability","","PLD","MAJOR","LOW","1992-10-30","PCMLD",100
"1993-02-01","CLD","Function","MISSING","","Reliability/Avail","Bkwd/Lateral Compatibility","PLD","MAJOR","MED","1993-02-01","PCMLD",101
"1993-02-01","CLD","Timing/Serialization","MISSING","","Reliability/Avail","","PLD","MAJOR","LOW","1993-02-01","PCMLD",102
"1993-02-01","CLD","Interface","INCORRECT","","Reliability/Avail","Design NonConformance","CLD","MAJOR","HIGH","1993-02-01","PCMLD",103
"1993-02-01","CLD","Function","MISSING","","Maintain/Service","Recovery/Exception","CLD","MAJOR","HIGH","1993-02-01","PCMLD",104
"1993-02-01","CLD","Function","MISSING","","Usability","","PLD","MAJOR","MED","1993-02-01","PCMLD",105
"1993-03-22","MLD","Function","MISSING","","Capability","Design NonConformance","MLD","MAJOR","MED","1993-03-22","PCMLD",106
"1993-03-22","MLD","Checking","INCORRECT","","Capability","Logic Flow","MLD","MAJOR","LOW","1993-03-22","PCMLD",107
"1993-03-22","MLD","Function","MISSING","","Reliability/Avail","Logic Flow","MLD","MAJOR","LOW","1993-03-22","PCMLD",108
"1993-03-22","MLD","Function","MISSING","","Migration","Bkwd/Lateral Compatibility","MLD","MAJOR","LOW","1993-03-22","PCMLD",109
"1993-03-24","MLD","Function","INCORRECT","","Capability","Logic Flow","MLD","MAJOR","HIGH","1993-03-24","PCMLD",110
"1993-03-24","MLD","Function","MISSING","","Reliability/Avail","Logic Flow","MLD","MAJOR","MED","1993-03-24","PCMLD",111
"1993-03-24","MLD","Function","INCORRECT","","Capability","Design NonConformance","MLD","MAJOR","LOW","1993-03-24","PCMLD",112
"1993-03-24","MLD","Function","MISSING","","Performance","Design NonConformance","PLD","MAJOR","MED","1993-03-24","PCMLD",113
"1993-03-24","MLD","Function","MISSING","","Reliability/Avail","Design NonConformance","MLD","MAJOR","LOW","1993-03-24","PCMLD",114
"1993-02-17","MLD","Function","MISSING","","Usability","","CLD","MAJOR","LOW","1993-02-17","PCMLD",115
"1993-02-17","MLD","Function","INCORRECT","","Capability","","CLD","MAJOR","LOW","1993-02-17","PCMLD",116
"1993-02-17","MLD","Function","INCORRECT","","Reliability/Avail","","CLD","MAJOR","LOW","1993-02-17","PCMLD",117
"1993-02-17","MLD","Function","MISSING","","Reliability/Avail","","CLD","MAJOR","MED","1993-02-17","PCMLD",118
"1993-02-17","MLD","Function","INCORRECT","","Reliability/Avail","","CLD","MAJOR","LOW","1993-02-17","PCMLD",119
"1993-02-17","MLD","Function","MISSING","","Usability","","PLD","MAJOR","MED","1993-02-17","PCMLD",120
"1993-02-17","MLD","Function","MISSING","","Usability","","CLD","MAJOR","MED","1993-02-17","PCMLD",121
"1993-02-17","MLD","Function","MISSING","","Capability","","MLD","MAJOR","LOW","1993-02-17","PCMLD",122
"1993-02-17","MLD","Algorithm","INCORRECT","","Capability","","CLD","MAJOR","LOW","1993-02-17","PCMLD",123
"1993-02-18","MLD","Algorithm","MISSING","","Capability","","MLD","MAJOR","MED","1993-02-18","PCMLD",124
"1993-02-18","MLD","Function","INCORRECT","","Reliability/Avail","","MLD","MAJOR","MED","1993-02-18","PCMLD",125
"1993-02-18","MLD","Function","INCORRECT","","Reliability/Avail","","MLD","MAJOR","LOW","1993-02-18","PCMLD",126
"1993-02-18","MLD","Function","INCORRECT","","Reliability/Avail","","MLD","MAJOR","LOW","1993-02-18","PCMLD",127
"1993-02-18","MLD","Function","MISSING","","Capability","","MLD","MAJOR","LOW","1993-02-18","PCMLD",128
"1993-02-18","MLD","Function","MISSING","","Capability","","MLD","MAJOR","LOW","1993-02-18","PCMLD",129
"1993-02-18","MLD","Function","MISSING","","Reliability/Avail","","MLD","MAJOR","LOW","1993-02-18","PCMLD",130
"1993-02-18","MLD","Function","INCORRECT","","Reliability/Avail","","MLD","MAJOR","LOW","1993-02-18","PCMLD",131
"1993-02-18","MLD","Function","MISSING","","Capability","","MLD","MAJOR","LOW","1993-02-18","PCMLD",132
"1993-04-02","CODE","Interface","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","MAJOR","LOW","1993-04-02","CODE",133
"1993-04-02","CODE","Function","MISSING","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","MAJOR","LOW","1993-04-02","CODE",134
"1993-04-02","CODE","Function","MISSING","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","MAJOR","LOW","1993-04-02","CODE",135
"1992-11-22","UT","Algorithm","INCORRECT","New_Funct/Rewritten","Capability","","CODE","MAJOR","LOW","1992-11-22","UTNI",136
"1992-12-01","FCT","Build/Package/Merge","INCORRECT","New_Funct/Rewritten","Installability","","CODE","1","","1992-12-10","BUILD",137
"1992-12-03","FCT","Function","INCORRECT","New_Funct/Rewritten","Usability","","MLD","4","","1992-12-08","FUNCCOMP",138
"1992-12-03","FCT","Function","MISSING","New_Funct/Rewritten","Integrity/Security","","PLD","3","","1992-12-04","FUNCCOMP",139
"1992-12-03","FCT","Function","INCORRECT","New_Funct/Rewritten","Capability","","CLD","3","","1992-12-18","",140
"1993-02-23","FCT","Function","INCORRECT","Prior_Release","Capability","","MLD","2","","1993-02-23","",141
"1993-02-23","FCT","Function","","PTM/DCR_error","Capability","","","2","","1993-02-24","",142
"1993-02-23","FCT","Function","INCORRECT","New_Funct/Rewritten","Usability","","CODE","3","","1993-02-23","",143
"1993-02-23","FCT","Build/Package/Merge","INCORRECT","New_Funct/Rewritten","Installability","","CODE","3","","1993-04-01","",144
"1993-03-22","FCT","Function","INCORRECT","New_Funct/Rewritten","Usability","","CODE","3","","1993-03-22","FUNCCOMP",145
"1993-04-08","FCT","Interface","INCORRECT","New_Funct/Rewritten","Capability","","BASE","2","","1993-04-08","FUNCCOMP",146
"1993-04-20","BLD","Build/Package/Merge","INCORRECT","","Installability","","CODE","2","","1993-04-20","BUILD",147
"1993-04-22","BLD","Assignment/Initialization","INCORRECT","Prior_Release","Capability","","CODE","2","","1993-04-22","BUILD",148
"1993-04-23","FCT","Assignment/Initialization","MISSING","New_Funct/Rewritten","Reliability/Avail","","CODE","2","","1993-07-01","PCMLD",149
"1993-04-23","BLD","Algorithm","INCORRECT","New_Funct/Rewritten","Capability","","CODE","1","","1993-04-23","BUILD",150
"1993-04-23","BLD","Checking","INCORRECT","New_Funct/Rewritten","Capability","","CODE","2","","1993-04-23","BUILD",151
"1993-05-03","ST","Function","MISSING","Prior_Release","Capability","","BASE","3","","1993-05-10","SYSTEM",152
"1993-05-13","UT","Algorithm","INCORRECT","New_Funct/Rewritten","Capability","","MLD","2","","1993-05-19","UNIT",153
"1993-05-13","UT","Interface","INCORRECT","New_Funct/Rewritten","Capability","","CODE","2","","1993-05-19","UNIT",154
"1993-05-13","UT","Interface","INCORRECT","Prior_Release","Capability","","CODE","2","","1993-06-14","UNIT",155
"1993-05-17","UT","Assignment/Initialization","MISSING","New_Funct/Rewritten","Capability","","MLD","2","","1993-05-19","UNIT",156
"1993-05-19","FCT","Function","INCORRECT","New_Funct/Rewritten","Capability","","CODE","2","","1993-05-19","",157
"1993-05-19","UT","Interface","","New_Funct/Rewritten","Capability","","CODE","2","","1993-05-19","UNIT",158
"1993-05-20","UT","Assignment/Initialization","","New_Funct/Rewritten","Capability","","CODE","1","","1993-05-21","UNIT",159
"1993-05-20","UT","Algorithm","","New_Funct/Rewritten","Capability","","CODE","3","","1993-05-21","UNIT",160
"1993-05-24","UT","Assignment/Initialization","","New_Funct/Rewritten","Capability","","CODE","3","","1993-05-24","UNIT",161
"1993-05-24","UT","Function","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","MLD","3","","1993-05-24","UNIT",162
"1993-05-24","UT","Interface","INCORRECT","New_Funct/Rewritten","Capability","","CODE","1","","1993-05-24","UNIT",163
"1993-05-26","FCT","Timing/Serialization","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CODE","3","","1994-01-14","UNIT",164
"1993-05-27","UT","Timing/Serialization","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CLD","2","","1993-09-29","",165
"1993-06-02","BLD","Interface","INCORRECT","New_Funct/Rewritten","Capability","","PLD","1","","1993-06-03","BUILD",166
"1993-06-02","BLD","Build/Package/Merge","INCORRECT","New_Funct/Rewritten","Capability","","CODE","2","","1993-06-02","BUILD",167
"1993-06-02","UT","Build/Package/Merge","INCORRECT","New_Funct/Rewritten","Capability","","BASE","3","","1993-06-03","BUILD",168
"1993-06-03","FCT","Function","INCORRECT","New_Funct/Rewritten","Capability","","CODE","3","","1993-06-03","FUNCCOMP",169
"1993-06-03","BLD","Interface","INCORRECT","New_Funct/Rewritten","Capability","","CODE","1","","1993-06-03","BUILD",170
"1993-06-03","BLD","Documents","INCORRECT","New_Funct/Rewritten","Standards","","CODE","4","","1993-06-03","BUILD",171
"1993-06-10","FCT","Build/Package/Merge","INCORRECT","Rollup/Parallel_Development","Capability","","CODE","1","","1993-06-11","UNIT",172
"1993-06-11","FCT","Interface","INCORRECT","New_Funct/Rewritten","Capability","","CODE","2","","1993-06-28","FUNCCOMP",173
"1993-06-14","BLD","Build/Package/Merge","INCORRECT","Rollup/Parallel_Development","Installability","","CODE","1","","1993-06-14","BUILD",174
"1993-06-15","BLD","Build/Package/Merge","INCORRECT","New_Funct/Rewritten","Capability","","CODE","2","","1993-06-15","BUILD",175
"1993-06-15","UT","Assignment/Initialization","MISSING","New_Funct/Rewritten","Capability","","CODE","3","","1993-06-15","CODE",176
"1993-06-16","FCT","Timing/Serialization","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CODE","2","","1993-06-18","FUNCCOMP",177
"1993-06-16","FCT","Build/Package/Merge","MISSING","New_Funct/Rewritten","Usability","","CODE","1","","1993-06-16","FUNCCOMP",178
"1993-06-16","UT","Interface","INCORRECT","New_Funct/Rewritten","Capability","","CODE","3","","1993-06-16","UNIT",179
"1993-06-21","ST","Interface","INCORRECT","New_Funct/Rewritten","Capability","","CODE","3","","1993-06-29","",180
"1993-06-23","FCT","Checking","MISSING","New_Funct/Rewritten","Capability","","CODE","4","","1994-01-31","FUNCCOMP",181
"1993-06-23","FCT","Function","MISSING","New_Funct/Rewritten","Capability","","PLD","3","","1994-02-18","FUNCCOMP",182
"1993-06-28","FCT","Function","INCORRECT","Prior_Release","Capability","","CODE","2","","1993-08-11","FUNCCOMP",183
"1993-06-28","FCT","Algorithm","INCORRECT","New_Funct/Rewritten","Capability","","CODE","2","","1993-07-16","FUNCCOMP",184
"1993-07-01","FCT","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Usability","","CODE","3","","1993-07-19","FUNCCOMP",185
"1993-07-02","FCT","Checking","INCORRECT","New_Funct/Rewritten","Capability","","CODE","3","","1993-11-10","FUNCCOMP",186
"1993-07-15","FCT","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Usability","","CODE","2","","1993-07-16","FUNCCOMP",187
"1993-07-15","FCT","Checking","INCORRECT","New_Funct/Rewritten","Usability","","CODE","2","","1993-07-16","FUNCCOMP",188
"1993-07-15","FCT","","INCORRECT","New_Funct/Rewritten","Usability","","CODE","3","","1993-08-13","FUNCCOMP",189
"1993-07-20","UT","Function","MISSING","New_Funct/Rewritten","Capability","","OBJ","2","","1993-07-20","",190
"1993-07-20","UT","Function","MISSING","New_Funct/Rewritten","Capability","","OBJ","2","","1993-07-20","UNIT",191
"1993-07-21","UT","Timing/Serialization","MISSING","New_Funct/Rewritten","Reliability/Avail","","MLD","2","","1993-07-21","CODE",192
"1993-07-23","UT","Assignment/Initialization","INCORRECT","PTM/DCR_error","Capability","","CODE","2","","1993-07-26","UNIT",193
"1993-07-23","FCT","Function","MISSING","Rollup/Parallel_Development","Reliability/Avail","","CODE","3","","1993-07-23","FUNCCOMP",194
"1993-07-24","FCT","Build/Package/Merge","INCORRECT","New_Funct/Rewritten","Capability","","CODE","1","","1993-07-26","FUNCCOMP",195
"1993-07-27","FCT","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Capability","","CODE","3","","1993-08-13","FUNCCOMP",196
"1993-07-29","FCT","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","","","CODE","3","","1994-02-14","FUNCCOMP",197
"1993-07-29","FCT","Build/Package/Merge","MISSING","Rollup/Parallel_Development","Capability","","CODE","2","","1993-07-29","FUNCCOMP",198
"1993-07-29","UT","Function","INCORRECT","New_Funct/Rewritten","Usability","","CODE","2","","1994-01-24","FUNCCOMP",199
"1993-07-30","FCT","Interface","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CLD","2","","1993-08-04","FUNCCOMP",200
"1993-08-02","ST","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Capability","","MLD","3","","1993-08-02","SYSTEM",201
"1993-08-02","FCT","Interface","INCORRECT","New_Funct/Rewritten","Capability","","CODE","2","","1993-08-03","FUNCCOMP",202
"1993-08-04","UT","Function","MISSING","New_Funct/Rewritten","Capability","","OBJ","2","","1993-08-04","UNIT",203
"1993-08-04","FCT","Build/Package/Merge","INCORRECT","Rollup/Parallel_Development","Capability","","CODE","2","","1993-08-04","FUNCCOMP",204
"1993-08-04","FCT","Function","INCORRECT","New_Funct/Rewritten","Usability","","CODE","3","","1994-01-23","FUNCCOMP",205
"1993-08-04","FCT","Interface","INCORRECT","New_Funct/Rewritten","Usability","","MLD","3","","1994-03-10","FUNCCOMP",206
"1993-08-05","FCT","Interface","INCORRECT","New_Funct/Rewritten","Capability","","MLD","2","","1993-09-27","FUNCCOMP",207
"1993-08-10","FCT","Timing/Serialization","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CLD","2","","1993-09-08","SYSTEM",208
"1993-08-10","FCT","Checking","INCORRECT","New_Funct/Rewritten","Usability","","MLD","3","","1993-08-12","FUNCCOMP",209
"1993-08-13","FCT","","INCORRECT","New_Funct/Rewritten","Capability","","CODE","3","","1993-08-13","FUNCCOMP",210
"1993-08-19","FCT","Checking","MISSING","New_Funct/Rewritten","Usability","","MLD","4","","1993-08-24","FUNCCOMP",211
