Open_Date,Defect_Type,Missing_Incorrect,Defect_Source,Defect_Impact,Defect_Trigger,Phase_Found,Defect_Location,Sequence
"1993-03-26","Assignment/Initialization","MISSING","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",28
"1993-03-26","Function","MISSING","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",29
"1993-03-26","Checking","MISSING","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",30
"1993-03-26","Checking","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",31
"1993-03-26","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",32
"1993-03-26","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",33
"1993-03-26","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",34
"1993-03-26","Checking","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",35
"1993-03-26","Function","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",36
"1993-03-31","Assignment/Initialization","MISSING","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",37
"1993-03-31","Function","MISSING","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",38
"1993-03-31","Assignment/Initialization","MISSING","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",39
"1993-03-31","Assignment/Initialization","MISSING","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",40
"1993-03-31","Function","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",41
"1993-05-10","Function","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",42
"1993-05-10","Function","MISSING","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",43
"1993-05-10","Function","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",44
"1992-11-24","Function","INCORRECT","New_Funct/Rewritten","Usability","","CODE","CODE",45
"1992-11-24","Function","INCORRECT","New_Funct/Rewritten","Usability","","CODE","CODE",46
"1992-11-24","Function","MISSING","New_Funct/Rewritten","Usability","","CODE","CODE",47
"1992-11-23","Function","MISSING","New_Funct/Rewritten","Capability","","CODE","CODE",48
"1992-11-23","Function","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CODE","MLD",49
"1992-11-23","Assignment/Initialization","MISSING","New_Funct/Rewritten","Capability","","CODE","MLD",50
"1992-11-23","Timing/Serialization","MISSING","New_Funct/Rewritten","Reliability/Avail","","CODE","MLD",51
"1992-11-23","Checking","MISSING","New_Funct/Rewritten","Reliability/Avail","Concurrency","CODE","MLD",52
"1992-11-23","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Capability","","CODE","CODE",53
"1992-11-23","Function","INCORRECT","New_Funct/Rewritten","Capability","","CODE","CODE",54
"1992-11-23","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CODE","MLD",55
"1992-11-23","Timing/Serialization","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Concurrency","CODE","CODE",56
"1992-11-23","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Capability","","CODE","MLD",57
"1992-12-01","Interface","INCORRECT","","Usability","Design NonConformance","CODE","CODE",58
"1993-03-12","Checking","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",59
"1993-03-15","Function","MISSING","New_Funct/Rewritten","Maintain/Service","Design NonConformance","CODE","CODE",60
"1993-03-15","Function","MISSING","New_Funct/Rewritten","Maintain/Service","Design NonConformance","CODE","CODE",61
"1993-03-15","Checking","INCORRECT","New_Funct/Rewritten","Capability","Design NonConformance","CODE","CODE",62
"1993-03-15","Assignment/Initialization","MISSING","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",63
"1993-03-15","Function","MISSING","New_Funct/Rewritten","Maintain/Service","Design NonConformance","CODE","CODE",64
"1993-03-15","Checking","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",65
"1993-03-15","Checking","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",66
"1993-03-15","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",67
"1993-03-15","Checking","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",68
"1993-03-15","Checking","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",69
"1993-03-15","Function","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",70
"1993-03-16","Function","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Test Coverage/Variation","CODE","CODE",71
"1993-03-16","Function","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",72
"1993-03-16","Assignment/Initialization","MISSING","New_Funct/Rewritten","Capability","","CODE","CODE",73
"1993-03-16","Function","INCORRECT","New_Funct/Rewritten","Capability","","CODE","CODE",74
"1993-03-16","Assignment/Initialization","MISSING","New_Funct/Rewritten","Capability","","CODE","CODE",75
"1993-03-16","Assignment/Initialization","MISSING","New_Funct/Rewritten","Reliability/Avail","Test Coverage/Variation","CODE","CODE",76
"1993-03-19","Function","MISSING","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",77
"1993-03-22","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Capability","","CODE","CODE",78
"1993-03-22","Interface","INCORRECT","New_Funct/Rewritten","Capability","","CODE","CODE",79
"1993-03-22","Assignment/Initialization","MISSING","New_Funct/Rewritten","Capability","Test Coverage/Variation","CODE","MLD",80
"1993-03-22","Checking","MISSING","New_Funct/Rewritten","Reliability/Avail","Test Coverage/Variation","CODE","MLD",81
"1993-03-22","Checking","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",82
"1993-03-22","Checking","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",83
"1993-03-24","Checking","MISSING","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",84
"1993-03-24","Assignment/Initialization","MISSING","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",85
"1993-03-24","Function","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",86
"1993-03-24","Checking","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",87
"1993-03-24","Assignment/Initialization","MISSING","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",88
"1993-03-24","Function","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",89
"1993-03-24","Assignment/Initialization","MISSING","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",90
"1993-03-24","Function","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",91
"1993-03-24","Assignment/Initialization","MISSING","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",92
"1993-03-24","Function","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",93
"1993-03-24","Function","MISSING","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",94
"1993-03-24","Checking","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",95
"1993-03-24","Function","MISSING","New_Funct/Rewritten","Standards","","CODE","CODE",96
"1993-03-24","Timing/Serialization","MISSING","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",97
"1993-03-26","Function","MISSING","New_Funct/Rewritten","Standards","","CODE","CODE",98
"1993-03-26","Assignment/Initialization","MISSING","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",99
"1993-03-26","Assignment/Initialization","MISSING","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",100
"1993-03-26","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",101
"1993-03-26","Checking","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",102
"1993-03-26","Checking","MISSING","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",103
"1993-03-26","Checking","MISSING","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",104
"1993-03-26","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",105
"1993-03-26","Checking","MISSING","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",106
"1993-03-26","Checking","MISSING","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",107
"1993-03-26","Function","MISSING","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",108
"1993-03-26","Checking","MISSING","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",109
"1993-03-26","Function","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",110
"1993-03-26","Checking","MISSING","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",111
"1993-03-26","Function","INCORRECT","New_Funct/Rewritten","Standards","","CODE","CODE",112
"1993-03-26","Assignment/Initialization","MISSING","New_Funct/Rewritten","Standards","","CODE","CODE",113
"1993-03-26","Checking","MISSING","New_Funct/Rewritten","Standards","","CODE","CODE",114
"1993-03-26","Checking","MISSING","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",115
"1993-03-26","Assignment/Initialization","MISSING","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",116
"1993-03-26","Assignment/Initialization","MISSING","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",117
"1993-03-29","Assignment/Initialization","MISSING","New_Funct/Rewritten","Capability","","CODE","CODE",118
"1993-03-29","Function","INCORRECT","New_Funct/Rewritten","Capability","","CODE","CODE",119
"1993-03-29","Assignment/Initialization","MISSING","New_Funct/Rewritten","Capability","","CODE","CODE",120
"1993-03-29","Function","INCORRECT","New_Funct/Rewritten","Capability","Test Coverage/Variation","CODE","MLD",121
"1993-03-29","Function","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",122
"1993-03-29","Function","MISSING","New_Funct/Rewritten","Capability","Test Coverage/Variation","CODE","CODE",123
"1993-03-29","Checking","MISSING","New_Funct/Rewritten","Reliability/Avail","Test Coverage/Variation","CODE","CODE",124
"1993-03-29","Interface","INCORRECT","New_Funct/Rewritten","Capability","","CODE","CODE",125
"1993-03-29","Checking","MISSING","New_Funct/Rewritten","Reliability/Avail","Test Coverage/Variation","CODE","CODE",126
"1993-03-31","Function","MISSING","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",127
"1993-03-31","Function","MISSING","New_Funct/Rewritten","Usability","Design NonConformance","CODE","CODE",128
"1993-03-31","Assignment/Initialization","MISSING","New_Funct/Rewritten","Capability","","CODE","CODE",129
"1993-04-01","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",130
"1993-04-01","Assignment/Initialization","MISSING","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",131
"1993-04-01","Assignment/Initialization","MISSING","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",132
"1993-04-01","Function","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",133
"1993-04-01","Checking","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",134
"1993-04-01","Function","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",135
"1993-04-01","Checking","MISSING","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",136
"1993-04-02","Function","INCORRECT","New_Funct/Rewritten","Capability","","CODE","CODE",137
"1993-04-02","Interface","INCORRECT","New_Funct/Rewritten","Capability","","CODE","CODE",138
"1993-04-03","Assignment/Initialization","MISSING","New_Funct/Rewritten","Usability","Design NonConformance","CODE","CODE",139
"1993-04-03","Checking","MISSING","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",140
"1993-04-03","Checking","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",141
"1993-04-03","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",142
"1993-04-03","Checking","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",143
"1993-04-03","Assignment/Initialization","MISSING","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",144
"1993-04-03","Assignment/Initialization","MISSING","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",145
"1993-04-03","Assignment/Initialization","MISSING","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",146
"1993-04-03","Assignment/Initialization","MISSING","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",147
"1993-04-03","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",148
"1993-04-03","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",149
"1993-04-03","Timing/Serialization","MISSING","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",150
"1993-04-03","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",151
"1993-04-06","Function","INCORRECT","New_Funct/Rewritten","Capability","Test Coverage/Variation","CODE","CODE",152
"1993-04-06","Function","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Test Coverage/Variation","CODE","CODE",153
"1993-04-06","Function","INCORRECT","New_Funct/Rewritten","Capability","Test Coverage/Variation","CODE","CODE",154
"1993-04-06","Function","MISSING","New_Funct/Rewritten","Maintain/Service","Design NonConformance","CODE","CODE",155
"1993-05-07","Function","MISSING","New_Funct/Rewritten","Usability","Design NonConformance","CODE","CODE",156
"1993-05-07","Checking","INCORRECT","New_Funct/Rewritten","Capability","Design NonConformance","CODE","CODE",157
"1993-05-07","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Usability","Design NonConformance","CODE","CODE",158
"1993-05-07","Checking","INCORRECT","New_Funct/Rewritten","Usability","Design NonConformance","CODE","CODE",159
"1993-05-07","Checking","MISSING","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",160
"1993-05-07","Checking","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",161
"1993-05-07","Checking","MISSING","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",162
"1993-05-12","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",163
"1993-05-12","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",164
"1993-05-12","Checking","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",165
"1993-05-12","Checking","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",166
"1993-05-12","Checking","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",167
"1993-05-12","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",168
"1993-05-12","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",169
"1993-05-12","Checking","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",170
"1993-05-14","Checking","MISSING","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",171
"1993-05-14","Checking","MISSING","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",172
"1993-05-14","Checking","MISSING","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",173
"1993-05-14","Checking","MISSING","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",174
"1993-05-14","Function","MISSING","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",175
"1993-05-14","Function","MISSING","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",176
"1992-12-05","Algorithm","INCORRECT","New_Funct/Rewritten","Standards","","CODE","CODE",177
"1992-12-05","Checking","INCORRECT","New_Funct/Rewritten","Usability","Design NonConformance","CODE","CODE",178
"1992-12-05","Checking","INCORRECT","New_Funct/Rewritten","Usability","Design NonConformance","CODE","CODE",179
"1992-12-05","Checking","MISSING","New_Funct/Rewritten","Usability","","CODE","MLD",180
"1992-12-05","Checking","MISSING","New_Funct/Rewritten","Usability","","CODE","CODE",181
"1992-12-05","Assignment/Initialization","MISSING","New_Funct/Rewritten","Usability","","CODE","CODE",182
"1992-11-02","Function","MISSING","New_Funct/Rewritten","Usability","","CLD","CLD",183
"1992-11-02","Function","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CLD","CLD",184
"1992-11-02","Function","INCORRECT","New_Funct/Rewritten","Usability","","CLD","CLD",185
"1992-11-25","Checking","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",186
"1992-11-25","Checking","MISSING","New_Funct/Rewritten","Usability","","CODE","CODE",187
"1992-11-25","Function","INCORRECT","New_Funct/Rewritten","Usability","","CODE","CODE",188
"1992-11-25","Function","INCORRECT","New_Funct/Rewritten","Usability","Design NonConformance","CODE","CODE",189
"1992-11-25","Checking","INCORRECT","New_Funct/Rewritten","Usability","Design NonConformance","CODE","CODE",190
"1992-11-25","Function","MISSING","New_Funct/Rewritten","Standards","Design NonConformance","CODE","CODE",191
"1992-11-25","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Usability","","CODE","CODE",192
"1992-11-25","Function","INCORRECT","New_Funct/Rewritten","Standards","","CODE","CODE",193
"1992-11-25","Function","MISSING","New_Funct/Rewritten","Usability","Design NonConformance","CODE","CODE",194
"1992-11-25","Checking","MISSING","New_Funct/Rewritten","Usability","Design NonConformance","CODE","CODE",195
"1992-11-25","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Usability","Design NonConformance","CODE","CODE",196
"1992-11-25","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Usability","","CODE","CODE",197
"1992-11-25","Assignment/Initialization","MISSING","New_Funct/Rewritten","Usability","","CODE","CODE",198
"1992-11-25","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",199
"1992-11-13","Checking","MISSING","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","MLD","MLD",200
"1992-11-13","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","MLD","MLD",201
"1992-11-13","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","MLD","MLD",202
"1992-11-13","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Maintain/Service","Design NonConformance","MLD","MLD",203
"1992-11-13","Function","MISSING","","Reliability/Avail","","MLD","MLD",204
"1992-11-20","Function","MISSING","New_Funct/Rewritten","Usability","Design NonConformance","CODE","CODE",205
"1992-11-20","Function","MISSING","New_Funct/Rewritten","Usability","","CODE","CODE",206
"1992-11-20","Function","MISSING","New_Funct/Rewritten","Usability","","CODE","CODE",207
"1992-11-20","Function","INCORRECT","New_Funct/Rewritten","Usability","","CODE","CODE",208
"1992-11-20","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Usability","","CODE","CODE",209
"1992-11-20","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Usability","","CODE","CODE",210
"1993-03-25","Function","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CODE","CODE",211
"1992-08-07","Function","INCORRECT","","Reliability/Avail","Logic Flow","PLD","PLD",212
"1992-08-07","Documents","MISSING","","Reliability/Avail","Documentation Content","PLD","PLD",213
"1992-08-07","Function","INCORRECT","","Reliability/Avail","Logic Flow","PLD","PLD",214
"1992-08-07","Interface","MISSING","","Maintain/Service","Design NonConformance","PLD","PLD",215
"1992-08-07","Function","MISSING","","Reliability/Avail","Design NonConformance","PLD","PLD",216
"1992-08-07","Documents","INCORRECT","","Maintain/Service","Documentation Content","PLD","PLD",217
"1992-08-07","Function","MISSING","","Reliability/Avail","Bkwd/Lateral Compatibility","PLD","PLD",218
"1992-11-09","Function","MISSING","New_Funct/Rewritten","Reliability/Avail","Concurrency","MLD","MLD",219
"1992-11-09","Function","MISSING","New_Funct/Rewritten","Capability","","MLD","MLD",220
"1992-11-09","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Capability","","MLD","MLD",221
"1992-11-09","Function","MISSING","New_Funct/Rewritten","Capability","","MLD","MLD",222
"1992-11-09","Timing/Serialization","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Concurrency","MLD","MLD",223
"1992-11-09","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Capability","","MLD","MLD",224
"1992-11-10","Timing/Serialization","MISSING","New_Funct/Rewritten","Integrity/Security","","MLD","MLD",225
"1992-11-10","Timing/Serialization","MISSING","New_Funct/Rewritten","Integrity/Security","","MLD","MLD",226
"1992-11-10","Function","INCORRECT","New_Funct/Rewritten","Capability","","MLD","MLD",227
"1993-03-15","Function","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","MLD","MLD",228
"1993-03-15","Function","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","MLD","CODE",229
"1993-03-15","Function","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","MLD","CODE",230
"1993-03-17","Function","INCORRECT","","Reliability/Avail","","MLD","MLD",231
"1993-03-17","Function","INCORRECT","","Reliability/Avail","","MLD","MLD",232
"1993-03-17","Assignment/Initialization","INCORRECT","","Reliability/Avail","","MLD","CODE",233
"1993-03-17","Function","INCORRECT","","Reliability/Avail","","MLD","MLD",234
"1993-03-17","Function","INCORRECT","","Reliability/Avail","","MLD","MLD",235
"1993-03-22","Function","MISSING","","Reliability/Avail","Design NonConformance","MLD","MLD",236
"1993-03-08","Checking","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","MLD","MLD",237
"1993-03-08","Checking","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","MLD","MLD",238
"1993-03-08","Checking","MISSING","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","MLD","MLD",239
"1993-03-08","Function","MISSING","New_Funct/Rewritten","Reliability/Avail","","MLD","MLD",240
"1993-03-08","Function","MISSING","New_Funct/Rewritten","Performance","","MLD","MLD",241
"1993-01-12","Function","INCORRECT","New_Funct/Rewritten","Capability","Design NonConformance","FCT","CODE",242
"1993-01-12","Function","INCORRECT","New_Funct/Rewritten","Capability","Design NonConformance","FCT","CODE",243
"1993-01-12","Function","INCORRECT","New_Funct/Rewritten","Capability","Design NonConformance","FCT","CODE",244
"1993-01-13","Assignment/Initialization","MISSING","New_Funct/Rewritten","Capability","Test Coverage/Variation","FCT","CODE",245
"1993-02-17","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","FCT","CODE",246
"1993-02-22","Function","INCORRECT","New_Funct/Rewritten","Capability","Rare Situation/Side Effects","FCT","CODE",247
"1993-02-22","Function","MISSING","New_Funct/Rewritten","Maintain/Service","","ST","PLD",248
"1993-03-04","Function","MISSING","New_Funct/Rewritten","Capability","Rare Situation/Side Effects","FCT","CODE",249
"1993-03-08","Function","INCORRECT","New_Funct/Rewritten","Capability","Rare Situation/Side Effects","FCT","MLD",250
"1993-03-09","Interface","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Test Coverage/Variation","FCT","CODE",251
"1993-04-13","Algorithm","INCORRECT","New_Funct/Rewritten","Capability","","BLD","CODE",252
"1993-04-15","Function","INCORRECT","New_Funct/Rewritten","Capability","","UT","CODE",253
"1993-04-16","Function","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","FCT","CODE",254
"1993-04-20","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Usability","Test Coverage/Variation","FCT","CODE",255
"1993-04-23","Function","MISSING","New_Funct/Rewritten","Capability","Rare Situation/Side Effects","FCT","MLD",256
"1993-04-26","Algorithm","MISSING","New_Funct/Rewritten","Maintain/Service","","ST","CLD",257
"1993-05-07","Algorithm","INCORRECT","New_Funct/Rewritten","Capability","Test Sequencing/Interaction","FCT","CODE",258
"1993-05-11","Function","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","FCT","MLD",259
"1993-05-11","Function","INCORRECT","New_Funct/Rewritten","Capability","","FCT","MLD",260
"1993-05-24","Function","MISSING","New_Funct/Rewritten","Capability","","FCT","PLD",261
"1993-05-25","Interface","INCORRECT","New_Funct/Rewritten","Usability","","FCT","CODE",262
"1993-06-02","Algorithm","INCORRECT","Prior_Release","Maintain/Service","","UT","CLD",263
"1993-06-08","Checking","MISSING","New_Funct/Rewritten","Reliability/Avail","Test Sequencing/Interaction","FCT","MLD",264
