Open_Date,Week_No,Defect_Type,Defect_Source,Missing_Incorrect,Sequence
"03-14-1994","Week 2","Bld/Pkg/Mrg","Old-Function","Incorrect",42
"03-14-1994","Week 2","Interface","New-Function","Missing",43
"03-14-1994","Week 2","Assignment","New-Function","Missing",44
"03-14-1994","Week 2","Assignment","New-Function","Missing",45
"03-14-1994","Week 2","Assignment","New-Function","Incorrect",46
"03-14-1994","Week 2","Assignment","New-Function","Missing",47
"03-14-1994","Week 2","Interface","Rewritten-Code","Incorrect",48
"03-14-1994","Week 2","Assignment","Old-Function","Incorrect",49
"03-14-1994","Week 2","Algorithm","New-Function","Incorrect",50
"03-14-1994","Week 2","Assignment","New-Function","Incorrect",51
"03-14-1994","Week 2","Algorithm","New-Function","Incorrect",52
"03-14-1994","Week 2","Assignment","New-Function","Missing",53
"03-14-1994","Week 2","Assignment","New-Function","Incorrect",54
"03-14-1994","Week 2","Assignment","New-Function","Incorrect",55
"03-14-1994","Week 2","Assignment","New-Function","Incorrect",56
"03-14-1994","Week 2","Function","New-Function","Incorrect",57
"03-14-1994","Week 2","Checking","New-Function","Incorrect",58
"03-14-1994","Week 2","Interface","New-Function","Missing",59
"03-14-1994","Week 2","Algorithm","New-Function","Incorrect",60
"03-14-1994","Week 2","Assignment","New-Function","Incorrect",61
"03-14-1994","Week 2","Assignment","New-Function","Incorrect",62
"03-14-1994","Week 2","Checking","Old-Function","Incorrect",63
"03-14-1994","Week 2","Function","Old-Function","Incorrect",64
"03-14-1994","Week 2","Assignment","New-Function","Incorrect",65
"03-14-1994","Week 2","Interface","New-Function","Missing",66
"03-14-1994","Week 2","Function","Old-Function","Incorrect",67
"03-14-1994","Week 2","Checking","New-Function","Incorrect",68
"03-14-1994","Week 2","Algorithm","New-Function","Incorrect",69
"03-14-1994","Week 2","Assignment","New-Function","Missing",70
"03-14-1994","Week 2","Assignment","New-Function","Incorrect",71
"03-14-1994","Week 2","Interface","Old-Function","Missing",72
"03-14-1994","Week 2","Assignment","New-Function","Incorrect",73
"03-14-1994","Week 2","Assignment","New-Function","Incorrect",74
"03-14-1994","Week 2","Assignment","New-Function","Missing",75
"03-14-1994","Week 2","Assignment","New-Function","Missing",76
"03-14-1994","Week 2","Checking","Old-Function","Missing",77
"03-14-1994","Week 2","Algorithm","New-Function","Incorrect",78
"03-14-1994","Week 2","Checking","New-Function","Missing",79
"03-14-1994","Week 2","Assignment","New-Function","Incorrect",80
"03-14-1994","Week 2","Checking","New-Function","Missing",81
"03-14-1994","Week 2","Interface","New-Function","Missing",82
"03-14-1994","Week 2","Checking","New-Function","Missing",83
"03-21-1994","Week 3","Algorithm","Old-Function","Incorrect",84
"03-21-1994","Week 3","Assignment","New-Function","Missing",85
"03-21-1994","Week 3","Bld/Pkg/Mrg","Old-Function","Incorrect",86
"03-21-1994","Week 3","Bld/Pkg/Mrg","New-Function","Missing",87
"03-21-1994","Week 3","Bld/Pkg/Mrg","New-Function","Missing",88
"03-21-1994","Week 3","Bld/Pkg/Mrg","New-Function","Missing",89
"03-21-1994","Week 3","Assignment","Old-Function","Missing",90
"03-21-1994","Week 3","Function","New-Function","Missing",91
"03-21-1994","Week 3","Function","Old-Function","Incorrect",92
"03-21-1994","Week 3","Assignment","New-Function","Missing",93
"03-21-1994","Week 3","Function","Old-Function","Incorrect",94
"03-21-1994","Week 3","Function","Old-Function","Incorrect",95
"03-21-1994","Week 3","Function","Old-Function","Incorrect",96
"03-21-1994","Week 3","Function","Old-Function","Incorrect",97
"03-21-1994","Week 3","Algorithm","New-Function","Incorrect",98
"03-21-1994","Week 3","Algorithm","New-Function","Incorrect",99
"03-21-1994","Week 3","Bld/Pkg/Mrg","New-Function","Missing",100
"03-21-1994","Week 3","Bld/Pkg/Mrg","Old-Function","Missing",101
"03-21-1994","Week 3","Algorithm","New-Function","Incorrect",102
"03-21-1994","Week 3","Algorithm","New-Function","Incorrect",103
"03-21-1994","Week 3","Bld/Pkg/Mrg","Old-Function","Incorrect",104
"03-21-1994","Week 3","Bld/Pkg/Mrg","New-Function","Missing",105
"03-21-1994","Week 3","Bld/Pkg/Mrg","Old-Function","Missing",106
"03-21-1994","Week 3","Bld/Pkg/Mrg","Rewritten-Code","Missing",107
"03-21-1994","Week 3","Interface","New-Function","Missing",108
"03-21-1994","Week 3","Assignment","Old-Function","Incorrect",109
"03-21-1994","Week 3","Interface","New-Function","Missing",110
"03-21-1994","Week 3","Assignment","New-Function","Missing",111
"03-21-1994","Week 3","Assignment","New-Function","Incorrect",112
"03-21-1994","Week 3","Assignment","New-Function","Missing",113
"03-21-1994","Week 3","Function","New-Function","Missing",114
"03-21-1994","Week 3","Assignment","New-Function","Incorrect",115
"03-21-1994","Week 3","Assignment","New-Function","Missing",116
"03-21-1994","Week 3","Assignment","New-Function","Missing",117
"03-21-1994","Week 3","Assignment","New-Function","Incorrect",118
"03-21-1994","Week 3","Algorithm","Old-Function","",119
"03-21-1994","Week 3","Interface","New-Function","Incorrect",120
"03-21-1994","Week 3","Assignment","New-Function","Incorrect",121
"03-21-1994","Week 3","Function","Old-Function","Incorrect",122
"03-21-1994","Week 3","Algorithm","New-Function","Incorrect",123
"03-21-1994","Week 3","Assignment","New-Function","Incorrect",124
"03-21-1994","Week 3","Assignment","Old-Function","Missing",125
"03-21-1994","Week 3","Checking","New-Function","Missing",126
"03-21-1994","Week 3","Bld/Pkg/Mrg","New-Function","Missing",127
"03-21-1994","Week 3","Checking","Old-Function","Missing",128
"03-21-1994","Week 3","Checking","Old-Function","Incorrect",129
"03-21-1994","Week 3","Interface","New-Function","Incorrect",130
"03-21-1994","Week 3","Function","Old-Function","Incorrect",131
"03-28-1994","Week 4","Bld/Pkg/Mrg","Old-Function","Incorrect",132
"03-28-1994","Week 4","Bld/Pkg/Mrg","Old-Function","Incorrect",133
"03-28-1994","Week 4","Checking","Old-Function","Missing",134
"03-28-1994","Week 4","Bld/Pkg/Mrg","Old-Function","Missing",135
"03-28-1994","Week 4","Function","Old-Function","Incorrect",136
"03-28-1994","Week 4","Assignment","New-Function","Missing",137
"03-28-1994","Week 4","Assignment","Rewritten-Code","Incorrect",138
"03-28-1994","Week 4","Checking","New-Function","Incorrect",139
"03-28-1994","Week 4","Algorithm","Old-Function","Incorrect",140
"03-28-1994","Week 4","Checking","New-Function","Missing",141
"03-28-1994","Week 4","Function","New-Function","Missing",142
"03-28-1994","Week 4","Checking","Old-Function","Incorrect",143
"03-28-1994","Week 4","Assignment","New-Function","Incorrect",144
"03-28-1994","Week 4","Function","New-Function","Missing",145
"03-28-1994","Week 4","Algorithm","Old-Function","Incorrect",146
"03-28-1994","Week 4","Algorithm","New-Function","Incorrect",147
"03-28-1994","Week 4","Checking","Old-Function","Incorrect",148
"03-28-1994","Week 4","Assignment","New-Function","Incorrect",149
"03-28-1994","Week 4","Algorithm","New-Function","Incorrect",150
"03-28-1994","Week 4","Assignment","New-Function","Incorrect",151
"03-28-1994","Week 4","Interface","New-Function","Missing",152
"03-28-1994","Week 4","Assignment","New-Function","Incorrect",153
"03-28-1994","Week 4","Checking","New-Function","Missing",154
"03-28-1994","Week 4","Assignment","New-Function","Incorrect",155
"03-28-1994","Week 4","Checking","Old-Function","Missing",156
"03-28-1994","Week 4","Checking","New-Function","Incorrect",157
"03-28-1994","Week 4","Assignment","New-Function","Missing",158
"03-28-1994","Week 4","Assignment","New-Function","Incorrect",159
"03-28-1994","Week 4","Assignment","New-Function","Missing",160
"03-28-1994","Week 4","Assignment","New-Function","Incorrect",161
"03-28-1994","Week 4","Function","New-Function","Missing",162
"03-28-1994","Week 4","Algorithm","Old-Function","Incorrect",163
"03-28-1994","Week 4","Bld/Pkg/Mrg","New-Function","Missing",164
"03-28-1994","Week 4","Checking","Old-Function","Missing",165
"03-28-1994","Week 4","Assignment","New-Function","Incorrect",166
"03-28-1994","Week 4","Algorithm","New-Function","Incorrect",167
"03-28-1994","Week 4","Checking","New-Function","Incorrect",168
"03-28-1994","Week 4","Checking","Old-Function","Incorrect",169
"03-28-1994","Week 4","Function","New-Function","Missing",170
"03-28-1994","Week 4","Checking","New-Function","Incorrect",171
"03-28-1994","Week 4","Assignment","New-Function","Missing",172
"03-28-1994","Week 4","Bld/Pkg/Mrg","Old-Function","Missing",173
"03-28-1994","Week 4","Bld/Pkg/Mrg","Old-Function","Incorrect",174
"03-28-1994","Week 4","Assignment","New-Function","Incorrect",175
"03-28-1994","Week 4","Interface","New-Function","Missing",176
"03-28-1994","Week 4","Function","New-Function","Missing",177
"03-28-1994","Week 4","Interface","New-Function","Missing",178
"03-28-1994","Week 4","Algorithm","New-Function","Missing",179
"03-28-1994","Week 4","Algorithm","Old-Function","Incorrect",180
"03-28-1994","Week 4","Assignment","Old-Function","Incorrect",181
"03-28-1994","Week 4","Assignment","New-Function","Missing",182
"03-28-1994","Week 4","Assignment","New-Function","Missing",183
"03-28-1994","Week 4","Algorithm","New-Function","Incorrect",184
"03-28-1994","Week 4","Algorithm","Old-Function","Incorrect",185
"03-28-1994","Week 4","Algorithm","Old-Function","Incorrect",186
"03-28-1994","Week 4","Assignment","New-Function","Incorrect",187
"03-28-1994","Week 4","Algorithm","New-Function","Incorrect",188
"03-28-1994","Week 4","Assignment","New-Function","Incorrect",189
"03-28-1994","Week 4","Bld/Pkg/Mrg","Old-Function","Incorrect",190
"03-28-1994","Week 4","Algorithm","New-Function","Incorrect",191
"03-28-1994","Week 4","Assignment","New-Function","Incorrect",192
"03-28-1994","Week 4","Checking","Old-Function","Incorrect",193
"03-28-1994","Week 4","Assignment","Old-Function","Missing",194
