Open_Date,Defect_Type,Missing_Incorrect,Defect_Source,Defect_Impact,Defect_Trigger,Phase_Found,Sequence
"1993-08-26","Interface","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","ST",81
"1993-08-26","Function","INCORRECT","Reused_Code","Integrity/Security","Recovery/Exception","WLM",82
"1993-08-26","Function","INCORRECT","New_Funct/Rewritten","Usability","","FCT",83
"1993-08-26","Algorithm","INCORRECT","New_Funct/Rewritten","Maintain/Service","","FCT",84
"1993-08-26","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Usability","","WLM",85
"1993-08-27","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Capability","","FCT",86
"1993-09-07","Checking","MISSING","New_Funct/Rewritten","Capability","Test Sequencing/Interaction","FCT",87
"1993-08-30","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Capability","","FCT",88
"1993-08-30","Checking","MISSING","Reused_Code","Capability","Test Sequencing/Interaction","FCT",89
"1993-08-31","Assignment/Initialization","MISSING","New_Funct/Rewritten","Capability","","UT",90
"1993-08-31","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","FCT",91
"1993-09-13","Checking","MISSING","New_Funct/Rewritten","Reliability/Avail","","FCT",92
"1993-09-13","Checking","INCORRECT","New_Funct/Rewritten","Usability","","FCT",93
"1993-08-31","Checking","INCORRECT","New_Funct/Rewritten","Usability","","FCT",94
"1993-09-02","Algorithm","INCORRECT","New_Funct/Rewritten","Capability","","ST",95
"1993-09-02","Checking","MISSING","New_Funct/Rewritten","Usability","","FCT",96
"1993-09-03","Function","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","FCT",97
"1993-09-07","Build/Package/Merge","INCORRECT","New_Funct/Rewritten","Standards","","WLM",98
"1993-09-07","Checking","INCORRECT","New_Funct/Rewritten","Usability","Documentation Content","FCT",99
"1993-09-07","Function","MISSING","New_Funct/Rewritten","Capability","","FCT",100
"1993-09-15","Assignment/Initialization","MISSING","New_Funct/Rewritten","Usability","","FCT",101
"1993-09-08","Function","MISSING","PTM/DCR_error","Capability","","FCT",102
"1993-09-09","Interface","INCORRECT","New_Funct/Rewritten","Capability","","FCT",103
"1993-09-09","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Usability","","FCT",104
"1993-09-09","Checking","MISSING","New_Funct/Rewritten","Capability","","ST",105
"1993-09-09","Interface","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","FCT",106
"1993-09-09","Assignment/Initialization","MISSING","New_Funct/Rewritten","Reliability/Avail","Test Coverage/Variation","FCT",107
"1993-09-09","Function","MISSING","New_Funct/Rewritten","Maintain/Service","Test Coverage/Variation","FCT",108
"1993-09-09","Algorithm","INCORRECT","New_Funct/Rewritten","Usability","","FCT",109
"1993-09-09","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Capability","","FCT",110
"1993-09-09","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Capability","","FCT",111
"1993-09-10","Interface","INCORRECT","New_Funct/Rewritten","Usability","","FCT",112
"1993-09-10","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Usability","","FCT",113
"1993-09-13","Function","MISSING","New_Funct/Rewritten","Reliability/Avail","","FCT",114
"1993-09-21","Assignment/Initialization","MISSING","New_Funct/Rewritten","Reliability/Avail","","FCT",115
"1993-09-13","Function","MISSING","New_Funct/Rewritten","Documentation","","FCT",116
"1993-09-14","Build/Package/Merge","INCORRECT","Prior_Release","Capability","","BLD",117
"1993-09-14","Assignment/Initialization","INCORRECT","Reused_Code","Maintain/Service","Test Sequencing/Interaction","WLM",118
"1993-09-14","Function","MISSING","New_Funct/Rewritten","Maintain/Service","Test Coverage/Variation","FCT",119
"1993-09-14","Checking","MISSING","New_Funct/Rewritten","Usability","","WLM",120
"1993-09-14","Function","MISSING","New_Funct/Rewritten","Maintain/Service","Test Coverage/Variation","FCT",121
"1993-09-14","Function","MISSING","New_Funct/Rewritten","Reliability/Avail","Test Coverage/Variation","FCT",122
"1993-09-14","Checking","INCORRECT","New_Funct/Rewritten","Standards","","FCT",123
"1993-09-14","Checking","INCORRECT","New_Funct/Rewritten","Capability","","FCT",124
"1993-10-15","Function","INCORRECT","New_Funct/Rewritten","Capability","","ST",125
"1993-09-15","Function","INCORRECT","New_Funct/Rewritten","Migration","","ST",126
"1993-09-15","Interface","INCORRECT","New_Funct/Rewritten","Capability","","FCT",127
"1993-09-15","Function","INCORRECT","New_Funct/Rewritten","Migration","","ST",128
"1993-09-15","Function","INCORRECT","New_Funct/Rewritten","Migration","","ST",129
"1993-09-15","Function","INCORRECT","New_Funct/Rewritten","Migration","","ST",130
"1993-09-15","Build/Package/Merge","INCORRECT","Rollup/Parallel_Development","Capability","","BLD",131
"1993-09-15","Documents","MISSING","New_Funct/Rewritten","Documentation","","UT",132
"1993-09-15","Checking","INCORRECT","New_Funct/Rewritten","Capability","Rare Situation/Side Effects","FCT",133
"1993-10-04","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Usability","","FCT",134
"1993-09-15","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Usability","","FCT",135
"1993-09-16","Documents","MISSING","New_Funct/Rewritten","Documentation","","FCT",136
"1993-09-16","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Maintain/Service","","FCT",137
"1993-09-16","Checking","INCORRECT","New_Funct/Rewritten","Capability","","FCT",138
"1993-09-16","Function","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Test Coverage/Variation","FCT",139
"1993-09-17","Function","MISSING","New_Funct/Rewritten","Maintain/Service","","FCT",140
"1993-10-04","Checking","INCORRECT","New_Funct/Rewritten","Capability","","FCT",141
"1993-09-18","Assignment/Initialization","MISSING","New_Funct/Rewritten","Capability","Design NonConformance","FCT",142
"1993-09-20","Documents","INCORRECT","New_Funct/Rewritten","Documentation","","FCT",143
"1993-09-20","Documents","INCORRECT","New_Funct/Rewritten","Documentation","Recovery/Exception","WLM",144
"1993-09-20","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Usability","","FCT",145
"1993-09-21","Function","INCORRECT","New_Funct/Rewritten","Maintain/Service","","ST",146
"1993-09-21","Function","INCORRECT","New_Funct/Rewritten","Performance","","FCT",147
"1993-09-22","Function","INCORRECT","New_Funct/Rewritten","Installability","","BLD",148
"1993-10-04","Checking","INCORRECT","New_Funct/Rewritten","Usability","","FCT",149
"1993-10-04","Assignment/Initialization","MISSING","New_Funct/Rewritten","Reliability/Avail","","FCT",150
"1993-09-22","Function","INCORRECT","New_Funct/Rewritten","Maintain/Service","Test Coverage/Variation","UT",151
"1993-09-27","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Usability","","FCT",152
"1993-10-09","Timing/Serialization","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","WLM",153
"1993-09-23","Checking","INCORRECT","Prior_Release","Usability","","ST",154
"1993-09-23","Function","INCORRECT","New_Funct/Rewritten","Usability","","ST",155
"1993-09-24","Function","INCORRECT","New_Funct/Rewritten","Migration","","ST",156
"1993-09-29","Checking","INCORRECT","New_Funct/Rewritten","Usability","","ST",157
"1993-09-28","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Usability","","FCT",158
"1993-09-24","Function","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Test Coverage/Variation","FCT",159
"1993-10-08","Checking","MISSING","New_Funct/Rewritten","Usability","","ST",160
"1993-09-27","Assignment/Initialization","INCORRECT","Reused_Code","Maintain/Service","Test Coverage/Variation","FCT",161
"1993-09-27","Function","MISSING","New_Funct/Rewritten","Maintain/Service","","FCT",162
"1993-09-27","Assignment/Initialization","MISSING","Reused_Code","Reliability/Avail","","WLM",163
"1993-09-28","Checking","INCORRECT","New_Funct/Rewritten","Capability","","FCT",164
"1993-09-29","Function","INCORRECT","New_Funct/Rewritten","Maintain/Service","Test Coverage/Variation","FCT",165
"1993-09-29","Assignment/Initialization","MISSING","New_Funct/Rewritten","Performance","","ST",166
"1993-10-04","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Usability","","FCT",167
"1993-09-29","Function","INCORRECT","Reused_Code","Maintain/Service","","WLM",168
"1993-09-29","Assignment/Initialization","INCORRECT","Reused_Code","Maintain/Service","","FCT",169
"1993-09-29","Documents","INCORRECT","New_Funct/Rewritten","Documentation","","FCT",170
"1993-09-30","Function","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Test Coverage/Variation","FCT",171
"1993-09-30","Function","INCORRECT","New_Funct/Rewritten","Maintain/Service","Test Coverage/Variation","FCT",172
"1993-09-30","Function","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Test Coverage/Variation","FCT",173
"1993-09-30","Timing/Serialization","MISSING","New_Funct/Rewritten","Reliability/Avail","","FCT",174
"1993-10-01","Interface","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","FCT",175
"1993-10-01","Function","INCORRECT","New_Funct/Rewritten","Performance","","FCT",176
"1993-10-04","Assignment/Initialization","INCORRECT","Reused_Code","Reliability/Avail","","WLM",177
"1993-10-05","Documents","INCORRECT","PTM/DCR_error","Documentation","","FCT",178
"1993-10-05","Checking","MISSING","New_Funct/Rewritten","Reliability/Avail","","FCT",179
"1993-10-06","Interface","INCORRECT","New_Funct/Rewritten","Usability","","FCT",180
"1993-10-06","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Maintain/Service","","WLM",181
"1993-10-07","Checking","MISSING","New_Funct/Rewritten","Capability","","UT",182
"1993-10-07","Checking","MISSING","New_Funct/Rewritten","Usability","","FCT",183
"1993-10-11","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Usability","","FCT",184
"1993-10-11","Documents","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","FCT",185
"1993-10-11","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Performance","","FCT",186
"1993-10-12","Assignment/Initialization","MISSING","New_Funct/Rewritten","Capability","","FCT",187
"1993-10-12","Assignment/Initialization","MISSING","New_Funct/Rewritten","Reliability/Avail","","FCT",188
"1993-10-12","Interface","INCORRECT","New_Funct/Rewritten","Maintain/Service","","FCT",189
"1993-10-13","Checking","INCORRECT","New_Funct/Rewritten","Capability","","ST",190
"1993-10-13","Documents","MISSING","New_Funct/Rewritten","Maintain/Service","","ST",191
"1993-10-13","Function","INCORRECT","New_Funct/Rewritten","Standards","","FCT",192
"1993-10-13","Interface","INCORRECT","New_Funct/Rewritten","Standards","","FCT",193
"1993-10-14","Checking","MISSING","New_Funct/Rewritten","Capability","","ST",194
"1993-10-15","Assignment/Initialization","MISSING","New_Funct/Rewritten","Performance","","WLM",195
"1993-10-18","Function","INCORRECT","New_Funct/Rewritten","Capability","","ST",196
"1993-10-20","Checking","INCORRECT","New_Funct/Rewritten","Usability","","FCT",197
"1993-10-20","","INCORRECT","New_Funct/Rewritten","Capability","","ST",198
"1993-10-21","Interface","INCORRECT","New_Funct/Rewritten","Maintain/Service","","WLM",199
"1993-10-21","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Usability","","ST",200
"1993-10-22","Interface","INCORRECT","New_Funct/Rewritten","Usability","Bkwd/Lateral Compatibility","FCT",201
"1993-10-22","Interface","MISSING","New_Funct/Rewritten","Usability","Bkwd/Lateral Compatibility","FCT",202
"1993-10-25","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Usability","","FCT",203
"1993-10-26","","INCORRECT","New_Funct/Rewritten","Performance","","PT",204
"1993-10-26","Assignment/Initialization","MISSING","New_Funct/Rewritten","Usability","","WLM",205
"1993-10-26","Assignment/Initialization","MISSING","New_Funct/Rewritten","Maintain/Service","","WLM",206
"1993-10-27","Interface","INCORRECT","New_Funct/Rewritten","Migration","Bkwd/Lateral Compatibility","ST",207
"1993-10-27","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Usability","","FCT",208
"1993-11-01","Checking","INCORRECT","New_Funct/Rewritten","Capability","Rare Situation/Side Effects","FCT",209
"1993-10-27","Timing/Serialization","MISSING","New_Funct/Rewritten","Reliability/Avail","","ST",210
"1993-10-27","Checking","MISSING","New_Funct/Rewritten","Usability","","ST",211
"1993-10-28","Interface","INCORRECT","New_Funct/Rewritten","Capability","","ST",212
"1993-11-02","Checking","INCORRECT","New_Funct/Rewritten","Maintain/Service","","ST",213
"1993-11-02","Build/Package/Merge","INCORRECT","New_Funct/Rewritten","Standards","","WLM",214
"1993-11-02","Function","MISSING","New_Funct/Rewritten","Maintain/Service","","UT",215
"1993-11-02","Checking","MISSING","New_Funct/Rewritten","Capability","","ST",216
"1993-11-02","Function","MISSING","New_Funct/Rewritten","Capability","","ST",217
"1993-11-02","Function","INCORRECT","New_Funct/Rewritten","Maintain/Service","","FCT",218
"1993-11-02","Function","INCORRECT","New_Funct/Rewritten","Maintain/Service","","FCT",219
"1993-11-04","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","ST",220
"1993-11-04","Interface","INCORRECT","Reused_Code","Maintain/Service","","ST",221
"1993-11-04","Function","INCORRECT","New_Funct/Rewritten","Maintain/Service","","FCT",222
"1993-11-05","Function","INCORRECT","Prior_Release","Capability","","FCT",223
"1993-11-05","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Rare Situation/Side Effects","FCT",224
"1993-11-11","Interface","MISSING","New_Funct/Rewritten","Capability","Workload Volume/Stress","ST",225
"1993-11-08","Function","INCORRECT","New_Funct/Rewritten","Capability","Design NonConformance","FCT",226
"1993-11-08","Timing/Serialization","INCORRECT","New_Funct/Rewritten","Performance","","ST",227
"1993-11-08","Function","INCORRECT","","Usability","Bkwd/Lateral Compatibility","ST",228
"1993-11-08","Documents","INCORRECT","","Usability","Documentation Content","ST",229
"1993-11-10","Interface","INCORRECT","New_Funct/Rewritten","Usability","","ST",230
"1993-11-26","Assignment/Initialization","MISSING","New_Funct/Rewritten","Capability","","ST",231
"1993-11-13","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Capability","","ST",232
"1993-11-11","Assignment/Initialization","MISSING","New_Funct/Rewritten","Capability","","ST",233
"1993-11-15","Function","MISSING","New_Funct/Rewritten","Maintain/Service","","FCT",234
"1993-11-15","Function","MISSING","New_Funct/Rewritten","Maintain/Service","","FCT",235
"1993-11-15","Checking","MISSING","New_Funct/Rewritten","Maintain/Service","Recovery/Exception","FCT",236
"1993-11-15","Checking","INCORRECT","New_Funct/Rewritten","Capability","","ST",237
"1993-11-16","Checking","MISSING","New_Funct/Rewritten","Capability","","FCT",238
"1993-11-17","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Maintain/Service","Test Coverage/Variation","FCT",239
"1993-11-20","","INCORRECT","New_Funct/Rewritten","Usability","","FCT",240
"1993-11-17","Assignment/Initialization","INCORRECT","PTM/DCR_error","Documentation","","FCT",241
"1993-11-19","Interface","MISSING","New_Funct/Rewritten","Maintain/Service","","ST",242
"1993-11-19","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Usability","","FCT",243
"1993-11-19","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Usability","","FCT",244
"1993-11-19","Assignment/Initialization","MISSING","New_Funct/Rewritten","Capability","Test Sequencing/Interaction","ST",245
"1993-11-19","Checking","INCORRECT","New_Funct/Rewritten","Migration","Design NonConformance","FCT",246
"1993-11-19","Interface","INCORRECT","New_Funct/Rewritten","Capability","","ST",247
"1993-11-23","Documents","INCORRECT","New_Funct/Rewritten","Documentation","","ST",248
"1993-11-24","Documents","INCORRECT","Rollup/Parallel_Development","Documentation","","WLM",249
"1993-11-24","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Capability","","ST",250
"1993-11-24","Assignment/Initialization","MISSING","New_Funct/Rewritten","Usability","","ST",251
"1993-11-26","Documents","INCORRECT","New_Funct/Rewritten","Standards","","FCT",252
"1993-11-26","Documents","INCORRECT","New_Funct/Rewritten","Standards","","ST",253
"1993-11-28","Documents","INCORRECT","New_Funct/Rewritten","Standards","Logic Flow","FCT",254
"1993-11-29","Function","MISSING","New_Funct/Rewritten","Reliability/Avail","","FCT",255
"1993-11-29","Interface","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","ST",256
"1993-11-29","Documents","MISSING","New_Funct/Rewritten","Documentation","","ST",257
"1993-11-29","Interface","INCORRECT","New_Funct/Rewritten","Capability","","ST",258
"1993-11-30","Function","INCORRECT","New_Funct/Rewritten","Maintain/Service","","FCT",259
"1993-12-02","Interface","INCORRECT","New_Funct/Rewritten","Usability","","ST",260
"1993-12-16","Function","INCORRECT","New_Funct/Rewritten","Capability","","ST",261
"1993-12-03","Function","MISSING","New_Funct/Rewritten","Capability","","ST",262
"1993-12-09","Function","MISSING","New_Funct/Rewritten","Capability","","ST",263
"1993-12-10","Function","MISSING","New_Funct/Rewritten","Reliability/Avail","","ST",264
"1993-12-10","Function","MISSING","New_Funct/Rewritten","Maintain/Service","","ST",265
"1993-12-10","Function","MISSING","New_Funct/Rewritten","Capability","","ST",266
"1993-12-10","Function","MISSING","New_Funct/Rewritten","Capability","","ST",267
"1993-12-13","Interface","MISSING","New_Funct/Rewritten","Usability","","WLM",268
"1993-12-13","Function","INCORRECT","New_Funct/Rewritten","Usability","","WLM",269
"1993-12-14","Documents","MISSING","New_Funct/Rewritten","Documentation","Documentation Content","ST",270
"1993-12-16","Build/Package/Merge","INCORRECT","New_Funct/Rewritten","Standards","","FCT",271
"1993-12-17","Function","MISSING","New_Funct/Rewritten","Capability","","UT",272
"1993-12-19","Documents","INCORRECT","New_Funct/Rewritten","Maintain/Service","","WLM",273
"1993-12-21","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Standards","","ST",274
"1993-12-28","Documents","INCORRECT","New_Funct/Rewritten","Documentation","","WLM",275
"1994-01-03","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Capability","","FCT",276
"1993-12-30","Function","INCORRECT","Prior_Release","Documentation","","FCT",277
"1994-01-03","Checking","MISSING","New_Funct/Rewritten","Maintain/Service","","ST",278
"1994-01-04","Documents","INCORRECT","New_Funct/Rewritten","Standards","","WLM",279
"1994-01-04","Documents","INCORRECT","New_Funct/Rewritten","Documentation","","WLM",280
"1994-01-04","Documents","MISSING","New_Funct/Rewritten","Documentation","","ST",281
"1994-01-05","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Capability","Test Coverage/Variation","ST",282
"1994-01-24","Function","INCORRECT","New_Funct/Rewritten","Capability","","ST",283
"1994-01-06","Documents","INCORRECT","New_Funct/Rewritten","Documentation","","ST",284
"1994-01-11","Function","MISSING","New_Funct/Rewritten","Capability","","ST",285
"1994-01-11","Function","MISSING","New_Funct/Rewritten","Capability","","ST",286
"1994-01-11","Function","MISSING","New_Funct/Rewritten","Capability","","ST",287
"1994-01-12","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Capability","","ST",288
"1994-01-14","Assignment/Initialization","MISSING","New_Funct/Rewritten","Maintain/Service","","ST",289
"1994-01-14","Checking","MISSING","New_Funct/Rewritten","Performance","","ST",290
"1994-01-21","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","WLM",291
"1994-01-24","Function","MISSING","New_Funct/Rewritten","Capability","","ST",292
"1994-01-24","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Capability","","ST",293
"1994-01-25","Function","MISSING","New_Funct/Rewritten","Capability","","ST",294
"1994-02-03","Checking","MISSING","New_Funct/Rewritten","Capability","","ST",295
"1994-01-31","Build/Package/Merge","INCORRECT","New_Funct/Rewritten","Standards","","WLM",296
"1994-02-02","Documents","INCORRECT","New_Funct/Rewritten","Documentation","","ST",297
"1994-02-03","Function","INCORRECT","New_Funct/Rewritten","Usability","","ST",298
"1994-02-03","Function","MISSING","New_Funct/Rewritten","Capability","","ST",299
"1994-02-07","Timing/Serialization","INCORRECT","New_Funct/Rewritten","Capability","","ST",300
"1994-02-09","Function","INCORRECT","New_Funct/Rewritten","Usability","","FCT",301
"1994-02-09","Function","MISSING","New_Funct/Rewritten","Capability","","ST",302
"1994-02-14","Timing/Serialization","INCORRECT","New_Funct/Rewritten","Capability","","ST",303
"1994-02-22","Function","INCORRECT","New_Funct/Rewritten","Capability","Workload Volume/Stress","ST",304
